Sample ID_16S	16S_Seq_number_Subset2	Study_ID	Publication	study_accession	Study_Origin	Gene	Plant_species	Family	Plant	Genotype	Habitat	Condition	instrument_model	library_layout	PlantbyStudy	sample_title	Year	Country	Harvest	Inoculation	Site	Seed_fraction	Microbe_collection	Seed_number	Seed_mass_g	pielou_e_16S	observed_otus_16S	shannon_16S	Sample ID_ITS	pielou_e_ITS	observed_otus_ITS	shannon_ITS	Ratio_observed_otus
SRR11639981	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	24P-16S reads of oak Pericarp_Rep 24	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.072158874	4	0.144317748	SRR11639928	0.387210875	13	1.432850501	0.307692308
SRR11639982	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	23P-16S reads of oak Pericarp_Rep 23	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.132618005	6	0.342812569	SRR11639929	0.530655077	6	1.371723474	1
SRR11639984	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	21P-16S reads of oak Pericarp_Rep 21	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.312929582	8	0.938788746	SRR11639932	0.484121682	17	1.978829385	0.470588235
SRR11639985	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	20P-16S reads of oak Pericarp_Rep 20	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.386505001	10	1.283941821	SRR11639933	0.151543377	17	0.619427922	0.588235294
SRR11639986	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	19P-16S reads of oak Pericarp_Rep 19	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.498897548	6	1.289631453	SRR11639934	0.386845621	7	1.086012959	0.857142857
SRR11639987	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	18P-16S reads of oak Pericarp_Rep 18	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.20592615	6	0.532311376	SRR11639935	0.550162072	11	1.903248069	0.545454545
SRR11639988	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	17P-16S reads of oak Pericarp_Rep 17	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.18308242	5	0.425104214	SRR11639936	0.524772745	12	1.881290614	0.416666667
SRR11639990	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	16P-16S reads of oak Pericarp_Rep 16	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.33159124	13	1.227033393	SRR11639937	0.332496561	10	1.104529667	1.3
SRR11639991	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	15P-16S reads of oak Pericarp_Rep 15	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.081516334	6	0.210716666	SRR11639938	0.541106289	10	1.797516185	0.6
SRR11639992	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	14P-16S reads of oak Pericarp_Rep 14	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.413603676	7	1.161132315	SRR11639939	0.495489772	4	0.990979544	1.75
SRR11639993	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	13P-16S reads of oak Pericarp_Rep 13	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.148946081	8	0.446838243	SRR11639940	0.0933275	5	0.216699745	1.6
SRR11639994	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	12P-16S reads of oak Pericarp_Rep 12	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.010708972	2	0.010708972	SRR11639942	0.233185344	6	0.602775369	0.333333333
SRR11639995	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	11P-16S reads of oak Pericarp_Rep 11	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.128176002	2	0.128176002	SRR11639943	0.510799823	9	1.61919713	0.222222222
SRR11639996	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	10P-16S reads of oak Pericarp_Rep 10	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.189612653	6	0.490141597	SRR11639944	0.086888394	7	0.243926559	0.857142857
SRR11639997	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	9P-16S reads of oak Pericarp_Rep 9	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.028975724	4	0.057951448	SRR11639945	0.42276352	13	1.564410919	0.307692308
SRR11639998	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	8P-16S reads of oak Pericarp_Rep 8	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.033713983	3	0.053435399	SRR11639946	0.020550402	4	0.041100804	0.75
SRR11639999	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	7P-16S reads of oak Pericarp_Rep 7	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.341024124	5	0.791833494	SRR11639947	0.643541699	6	1.663531159	0.833333333
SRR11640001	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	6P-16S reads of oak Pericarp_Rep 6	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.04806522	4	0.09613044	SRR11639948	0.21117855	10	0.701519958	0.4
SRR11640002	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	5P-16S reads of oak Pericarp_Rep 5	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.352382221	6	0.910894826	SRR11639949	0.439116615	12	1.574216596	0.5
SRR11640004	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	3P-16S reads of oak Pericarp_Rep 3	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.300124336	28	1.442804203	SRR11639951	0.054775599	14	0.208550147	2
SRR11640005	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	2P-16S reads of oak Pericarp_Rep 2	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.422947047	5	0.982052632	SRR11639953	0.427736371	17	1.748356523	0.294117647
SRR11640006	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	1P-16S reads of oak Pericarp_Rep 1	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.010708972	2	0.010708972	SRR11639954	0.393598316	13	1.456486842	0.153846154
SRR11640036	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	22E-16S reads of oak Embryo_Rep 22	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.523677716	5	1.215942001	SRR11640079	0.615265273	16	2.461061092	0.3125
SRR11640039	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	19E-16S reads of oak Embryo_Rep 19	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.350569945	16	1.402279778	SRR11639967	0.64247689	14	2.446137549	1.142857143
SRR11640042	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	16E-16S reads of oak Embryo_Rep 16	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.328940367	18	1.371656661	SRR11640000	0.69548661	14	2.647964368	1.285714286
SRR11640088	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	2E-16S reads of oak Embryo_Rep 2	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.162678043	12	0.583194685	SRR11640116	0.625849344	12	2.243646431	1
SRR11640089	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	1E-16S reads of oak Embryo_Rep 1	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.398635735	24	1.827729899	SRR11640117	0.596561906	20	2.578297663	1.2
SRR11640114	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	5E-16S reads of oak Embryo_Rep 5	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.529203531	13	1.958285763	SRR11640059	0.783273696	21	3.440386701	0.619047619
SRR7133548	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN025	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.771967625	81	4.894158949	SRR7133548	0.243854426	6	0.630354547	13.5
SRR7133549	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN024	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.849007059	31	4.206147641	SRR7133549	0.334467166	22	1.491533455	1.409090909
SRR7133550	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN022	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.827439072	37	4.310505259	SRR7133550	0.404232368	12	1.449157881	3.083333333
SRR7133551	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN022	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.662457103	52	3.776296781	SRR7133551	0.281491299	12	1.009135751	4.333333333
SRR7133552	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN023	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.763493276	35	3.916173093	SRR7133552	0.438658263	15	1.713789843	2.333333333
SRR7133553	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN022	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.808510511	28	3.886796985	SRR7133553	0.318516168	17	1.301923002	1.647058824
SRR7133554	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN023	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.853919014	55	4.936812985	SRR7133554	0.392676095	10	1.304441752	5.5
SRR7133555	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN023	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.794324284	17	3.246770993	SRR7133555	0.183672389	9	0.582227699	1.888888889
SRR7133556	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN024	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.614390307	29	2.984696435	SRR7133556	0.61831992	9	1.960027773	3.222222222
SRR7133557	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN024	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.848773234	32	4.243866168	SRR7133557	0.238948753	14	0.90976271	2.285714286
SRR7133568	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN067	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.851325271	84	5.441941364	SRR7133568	0.38489553	30	1.888640258	2.8
SRR7133569	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN067	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.764219278	80	4.831339324	SRR7133569	0.687266482	54	3.955141291	1.481481481
SRR7133570	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN067	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.777755157	74	4.829434379	SRR7133570	0.57643594	59	3.390966876	1.254237288
SRR7133571	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN066	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.724459136	62	4.313571913	SRR7133571	0.707149454	51	4.011252481	1.215686275
SRR7133572	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN066	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.689628982	61	4.090008352	SRR7133572	0.639272348	52	3.644133483	1.173076923
SRR7133573	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN066	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.807794072	90	5.24408045	SRR7133573	0.662991842	37	3.453825082	2.432432432
SRR7133574	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN065	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.70614435	53	4.044738666	SRR7133574	0.366136549	34	1.862706089	1.558823529
SRR7133575	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN065	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.772994726	86	4.967468764	SRR7133575	0.463430144	41	2.482851096	2.097560976
SRR7133576	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN065	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.836392069	54	4.813342265	SRR7133576	0.393067817	31	1.947335128	1.741935484
SRR7133577	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN057	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.713062149	75	4.441534839	SRR7133577	0.653062732	44	3.56535133	1.704545455
SRR7133578	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN032	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.73753805	30	3.619018524	SRR7133578	0.190084259	12	0.681444942	2.5
SRR7133579	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN033	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.750890753	40	3.996186593	SRR7133579	0.66285923	9	2.101214046	4.444444444
SRR7133580	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN026	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.694625737	35	3.562931993	SRR7133580	0.28540763	6	0.737768021	5.833333333
SRR7133581	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN027	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.885227093	71	5.443922768	SRR7133581	0.232121752	13	0.858952552	5.461538462
SRR7133582	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN025	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.635773028	35	3.261059796	SRR7133582	0.278699752	9	0.883457312	3.888888889
SRR7133583	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN025	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.828203343	100	5.50246391	SRR7133583	0.47194152	26	2.218332665	3.846153846
SRR7133584	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN030	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.796858883	92	5.198358294	SRR7133584	0.59229845	30	2.906343693	3.066666667
SRR7133585	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN031	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.827590302	56	4.806110613	SRR7133585	0.375692307	20	1.623715138	2.8
SRR7133586	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN028	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.626732296	56	3.639656883	SRR7133586	0.389008049	16	1.556032197	3.5
SRR7133587	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN029	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.80787486	42	4.356317681	SRR7133587	0.572410975	25	2.658194249	1.68
SRR7133588	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN037	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.746392737	27	3.549013496	SRR7133588	0.301186723	16	1.204746893	1.6875
SRR7133589	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN089	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.783976125	101	5.219878837	SRR7133589	0.3971714	38	2.084326716	2.657894737
SRR7133590	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN089	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.51489721	60	3.041441486	SRR7133590	0.376213981	28	1.808594134	2.142857143
SRR7133591	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN087	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.843424739	75	5.253539775	SRR7133591	0.293811085	28	1.412454166	2.678571429
SRR7133592	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN087	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.72538844	58	4.249311695	SRR7133592	0.423588602	40	2.254308082	1.45
SRR7133593	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN086	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.805044433	95	5.289025684	SRR7133593	0.649417795	40	3.45615481	2.375
SRR7133594	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN087	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.767668127	64	4.606008761	SRR7133594	0.457678821	27	2.176211305	2.37037037
SRR7133595	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN088	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.789441026	86	5.073157044	SRR7133595	0.461308061	44	2.518479812	1.954545455
