SV	Plant	count_sum_SV	sample_number_SV	Nb_studies	sample_number_Plant	count_sum_Plant	SV_Rel_Abund	SV_Prev	Type
05e6fa3a491a7a8cf430b0fd41c1d557	Bean	10	3	1	50	50000	0.02	6	Flexible
08bacdef69832b9dd257ffd31382dd3b	Bean	5	3	1	50	50000	0.01	6	Flexible
0cbfbd9c9e418d32a7f4596c65147080	Bean	30	3	1	50	50000	0.06	6	Flexible
1411d0c1114ef65ee280a107e882398d	Bean	5	3	1	50	50000	0.01	6	Flexible
1f387896c9cd43fcd4c6e16b71e3b9a4	Bean	10	3	1	50	50000	0.02	6	Flexible
25944249c1ecf029955b7a58ee2cd316	Bean	149	3	1	50	50000	0.298	6	Flexible
2666f3237867cc1e3f6612af66569a32	Bean	4	3	1	50	50000	0.008	6	Flexible
35416d6874fbfded4485c512071f8e04	Bean	9	3	1	50	50000	0.018	6	Flexible
359abe8d37cb59d94b994527db4d5b31	Bean	20	3	1	50	50000	0.04	6	Flexible
3dfb6281508329d902da78ec8135885c	Bean	8	3	3	50	50000	0.016	6	Flexible
480f86e45e575ca872af162eff3df289	Bean	28	3	3	50	50000	0.056	6	Flexible
48af0978c47e87843aedf1a25be77398	Bean	91	3	1	50	50000	0.182	6	Flexible
4dc2e9448a7f5224ad898164267aa19f	Bean	10	3	2	50	50000	0.02	6	Flexible
50878165fa4b48646a587e202f44f583	Bean	11	3	1	50	50000	0.022	6	Flexible
50dd0cc3a7a235dc36843919b385ccd2	Bean	13	3	1	50	50000	0.026	6	Flexible
56bff6c9f3f90b4df9d3e47b83e85fc2	Bean	7	3	1	50	50000	0.014	6	Flexible
630cdd2aafc7397509eb6e24d8e12924	Bean	46	3	1	50	50000	0.092	6	Flexible
76a87d7d25727c72734af122e236b5e3	Bean	33	3	1	50	50000	0.066	6	Flexible
9024d73c6101dae57eef8db7e152d947	Bean	8	3	1	50	50000	0.016	6	Flexible
a116c6a4b7ec2b5eda0847584ce98baf	Bean	6	3	2	50	50000	0.012	6	Flexible
a5068b7ab33f43952e996f32c0d99c67	Bean	61	3	1	50	50000	0.122	6	Flexible
a8f970deaae0ef5843d95a09d305f36e	Bean	12	3	1	50	50000	0.024	6	Flexible
b23cd7dd4e0d04fcf18dc1d68581dd68	Bean	33	3	1	50	50000	0.066	6	Flexible
b3ffad79d5b2762601bdf368c2a0a724	Bean	5	3	1	50	50000	0.01	6	Flexible
b48896dc9c260982458d45d95d3a2272	Bean	138	3	1	50	50000	0.276	6	Flexible
c36fa6407bd43f7d7e8fb0d171b3bdb2	Bean	112	3	1	50	50000	0.224	6	Flexible
cb94108aa84422a4def6d81b36871ebe	Bean	24	3	1	50	50000	0.048	6	Flexible
dd2cabe155d030ba9c763d5a5bd4f45c	Bean	16	3	1	50	50000	0.032	6	Flexible
e01336885406a2da57d192511fabc4d3	Bean	104	3	2	50	50000	0.208	6	Flexible
f191717d6f8c5892104088029a50d805	Bean	7	3	2	50	50000	0.014	6	Flexible
f1dbdf3912c8f083295717219714e75e	Bean	15	3	2	50	50000	0.03	6	Flexible
fdf8f12c60a88743e37778b9426430c2	Bean	15	3	1	50	50000	0.03	6	Flexible
ffd94fa2fabe87d6490684928148678d	Bean	7	3	1	50	50000	0.014	6	Flexible
051b8c3101e5f802c4ce8729e1552385	Bean	3	2	1	50	50000	0.006	4	Flexible
0681ec03d08877b426861c0f78d3fc6f	Bean	13	2	2	50	50000	0.026	4	Flexible
0a3960242bf69246b4074c7e2f182493	Bean	3	2	1	50	50000	0.006	4	Flexible
0ca9d9e4a9479d3d64b5ede65a415361	Bean	4	2	1	50	50000	0.008	4	Flexible
0d7ef0bc165f75a8e79738a5ecd494ee	Bean	9	2	1	50	50000	0.018	4	Flexible
0dcce1178e78183b77c3147b397d8f1a	Bean	12	2	1	50	50000	0.024	4	Flexible
0e66cf768564caf4d4adec937a161395	Bean	3	2	1	50	50000	0.006	4	Flexible
1100adbe2ade04cc068251754a4a5743	Bean	8	2	1	50	50000	0.016	4	Flexible
11fd35dd39147e52f0a2425818a1a3b1	Bean	31	2	1	50	50000	0.062	4	Flexible
127d819a75b6c9d93d59e93379d6c7d5	Bean	12	2	1	50	50000	0.024	4	Flexible
13bffb93e6625703626d21cab8b69326	Bean	8	2	1	50	50000	0.016	4	Flexible
171a7199f639198c0ad211cc22d9ae84	Bean	2	2	2	50	50000	0.004	4	Flexible
19d928b71d22ba4433f1ac90494efb96	Bean	9	2	1	50	50000	0.018	4	Flexible
1f274c1532d7c0e605b777d7ddf07a76	Bean	3	2	1	50	50000	0.006	4	Flexible
2472e75471dadf6a86e8dd411776a5fc	Bean	9	2	1	50	50000	0.018	4	Flexible
25dfe7a5587d7989803e670b02400ef2	Bean	5	2	1	50	50000	0.01	4	Flexible
275f8083e299484f7ae04d1186e5514c	Bean	5	2	1	50	50000	0.01	4	Flexible
27b60039acc1447351bec2bb7617c66c	Bean	3	2	1	50	50000	0.006	4	Flexible
27d9d51772ec2678470222af47ba932a	Bean	3	2	1	50	50000	0.006	4	Flexible
2892973cbf5beceb177844de250d414f	Bean	2	2	1	50	50000	0.004	4	Flexible
28ebfea3a07aebc6ce6a0e697ebbb077	Bean	12	2	1	50	50000	0.024	4	Flexible
2fb97421a95b6142837e9d02c4227ea1	Bean	8	2	1	50	50000	0.016	4	Flexible
32207df7636477960ceb34b6cfc55f8e	Bean	2	2	1	50	50000	0.004	4	Flexible
357e39d2b1f3fd99ce2aae0dc8e8ab09	Bean	5	2	1	50	50000	0.01	4	Flexible
3962d5689bcd58218e5b708e58efb93e	Bean	25	2	1	50	50000	0.05	4	Flexible
398997595700a00cd2b6a8f0aa94c2d0	Bean	10	2	1	50	50000	0.02	4	Flexible
3cc80275df0b113329415a12260accbf	Bean	3	2	1	50	50000	0.006	4	Flexible
411f808c9f25de36a68417b9a8181cb3	Bean	6	2	1	50	50000	0.012	4	Flexible
43ebc15e713e2e209bfcddf1793e6b20	Bean	10	2	2	50	50000	0.02	4	Flexible
45c044cdf88c3f5e55e49ec8380d1275	Bean	5	2	1	50	50000	0.01	4	Flexible
4627a76a663be02db1954267e8df5626	Bean	2	2	1	50	50000	0.004	4	Flexible
481fbe33d24193c5646817196ac3da9b	Bean	11	2	1	50	50000	0.022	4	Flexible
48e4931a164c2fbb88817378d7f562e9	Bean	2	2	1	50	50000	0.004	4	Flexible
4a7df150a5a8196f92824720d39f7ebc	Bean	7	2	1	50	50000	0.014	4	Flexible
4adf313ca5fc59465c2ae39fc802fa61	Bean	727	2	1	50	50000	1.454	4	Flexible
4f7a07bef1c5fae699c64a6a506c2813	Bean	2	2	1	50	50000	0.004	4	Flexible
50fae0f3240816c525a507ac8d4173f7	Bean	6	2	1	50	50000	0.012	4	Flexible
55e5920df98907dd1790cf651b36aaf1	Bean	4	2	1	50	50000	0.008	4	Flexible
5762ee8bda48e048f44ad3c6c65ed93e	Bean	5	2	1	50	50000	0.01	4	Flexible
59e1f94632aa3919e0fd9e52513c2b56	Bean	5	2	1	50	50000	0.01	4	Flexible
5d81c70286e91a99948d54fc6d4e1a00	Bean	3	2	1	50	50000	0.006	4	Flexible
5e1733093d1d20cd73f3651bf2227532	Bean	5	2	1	50	50000	0.01	4	Flexible
60e33f86b1d6f6ed12715bff80c73b8c	Bean	16	2	1	50	50000	0.032	4	Flexible
61d657d1dfadfd7187e33fd0f9ca1396	Bean	51	2	1	50	50000	0.102	4	Flexible
63762ea3ac5a656ce8849767f3d43571	Bean	22	2	1	50	50000	0.044	4	Flexible
66d65fa572e9fe05c1c710a51fc99f4e	Bean	4	2	1	50	50000	0.008	4	Flexible
6b9da56117faaa71e566bcd42d36167b	Bean	9	2	1	50	50000	0.018	4	Flexible
6d073b70e371ed84d7c3f3a60eb49a72	Bean	29	2	1	50	50000	0.058	4	Flexible
6d716a0f9d16d8657eec78b2417dfb8a	Bean	5	2	1	50	50000	0.01	4	Flexible
6e0c737085fa9f347997bb3b430eaf1b	Bean	5	2	1	50	50000	0.01	4	Flexible
6fea1bdb0f3ca27eba396a8635738b26	Bean	5	2	1	50	50000	0.01	4	Flexible
70a20200e20750c0fd4a782c8710494c	Bean	5	2	1	50	50000	0.01	4	Flexible
71f69cad57312b30a352d1954fd5a0c8	Bean	3	2	1	50	50000	0.006	4	Flexible
73dfc5a4cb3310ea1302cb69077e9bbc	Bean	13	2	1	50	50000	0.026	4	Flexible
750afff5a826682e0fbe9942bb3fd94e	Bean	6	2	1	50	50000	0.012	4	Flexible
78b5636bff9809ec21595df0d986d641	Bean	5	2	2	50	50000	0.01	4	Flexible
790d2cc80d5b3baeca9441c71b1016df	Bean	2	2	1	50	50000	0.004	4	Flexible
7a582de59a8316ba678fa3ccce104f9e	Bean	6	2	2	50	50000	0.012	4	Flexible
7a7f65a6676cf146cd0a3e9be44a8725	Bean	3	2	1	50	50000	0.006	4	Flexible
7ab6eeb10ed9747516f3e845fe93594e	Bean	7	2	1	50	50000	0.014	4	Flexible
7ad70f1eee5614102f2ac16271b7b431	Bean	4	2	1	50	50000	0.008	4	Flexible
7aee535b46b208080cc6fc4b91d2a5d8	Bean	4	2	1	50	50000	0.008	4	Flexible
80e8ac710762b5ff78fe833495f316ab	Bean	28	2	1	50	50000	0.056	4	Flexible
8575eef0b39bd656e0a94112a72e608e	Bean	4	2	1	50	50000	0.008	4	Flexible
86eb2a46fa75f7ab3ec227a5181cea39	Bean	8	2	1	50	50000	0.016	4	Flexible
8811a8e97bdd0baebbb92b28d652e2d7	Bean	5	2	1	50	50000	0.01	4	Flexible
8acd1fbb1d7cb6e42b64b21f4ae8a8c7	Bean	26	2	1	50	50000	0.052	4	Flexible
8b682143644338231736a1b8ae61fbdb	Bean	2	2	1	50	50000	0.004	4	Flexible
8ea6885922b8c3a0bcd6f3ea441c929b	Bean	4	2	1	50	50000	0.008	4	Flexible
8ec72fc13a39e817b7a111848e45f8ae	Bean	5	2	1	50	50000	0.01	4	Flexible
8fc87f8a4bbbc44ef0d33c65653f6e41	Bean	7	2	1	50	50000	0.014	4	Flexible
904ffd2679c6c28d02dadfd25a231fe3	Bean	7	2	1	50	50000	0.014	4	Flexible
92b6cc50f789ea9142dd39379da8df37	Bean	3	2	1	50	50000	0.006	4	Flexible
970aec7db437a730e6bd6cdf48a47762	Bean	2	2	1	50	50000	0.004	4	Flexible
9bf01a99115bbbf9c3f53cd0d4602480	Bean	4	2	1	50	50000	0.008	4	Flexible
9cf325ddac731c95bc891a860c672ed7	Bean	5	2	1	50	50000	0.01	4	Flexible
9d35759e5fba668a6bc1e06d8c14d1e9	Bean	108	2	1	50	50000	0.216	4	Flexible
9df199125e31a244bbf2e9d91479326a	Bean	9	2	1	50	50000	0.018	4	Flexible
a0da4c99807d0425d938ad14c6f5f2d2	Bean	3	2	2	50	50000	0.006	4	Flexible
a36b595772f80283606829eddc3664b7	Bean	17	2	2	50	50000	0.034	4	Flexible
a73b91b1df6aa39dde500914f8f8c63d	Bean	4	2	1	50	50000	0.008	4	Flexible
aa539414576a8cdfb9de3b19c1eb1839	Bean	10	2	1	50	50000	0.02	4	Flexible
aa63f5fd376aff6fdc52ddced9207951	Bean	27	2	1	50	50000	0.054	4	Flexible
aac1c86db3609207a56ddff19e469b0a	Bean	14	2	2	50	50000	0.028	4	Flexible
acd72806911757cae133162d5641eaff	Bean	6	2	1	50	50000	0.012	4	Flexible
