SampleID	Seq_number_Subset2	Study_ID	Publication	study_accession	Study_Origin	Gene	Plant_species	Family	Plant	Genotype	Habitat	Condition	instrument_model	library_layout	PlantbyStudy	sample_title	Year	Country	Harvest	Inoculation	Site	Seed_fraction	Microbe_collection	Seed_number	Seed_mass_g	bray1	bray2	pielou_e	faith_pd	jaccard1	jaccard2	observed_otus	shannon	unweighted1	unweighted2	weighted1	weighted2
SRR11639981	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	24P-16S reads of oak Pericarp_Rep 24	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.394643196	-0.026035726	0.072158874	1.042350444	-0.090252512	-0.125315403	4	0.144317748	-0.130857249	0.054575791	-0.017908198	-0.000310302
SRR11639984	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	21P-16S reads of oak Pericarp_Rep 21	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.122593815	-0.001416136	0.312929582	1.157191701	0.047830754	-0.268924721	8	0.938788746	-0.099459277	-0.199776169	-0.010049359	-0.0000331
SRR11639987	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	18P-16S reads of oak Pericarp_Rep 18	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.375523528	-0.000932967	0.20592615	1.26378545	-0.202932084	-0.041174018	6	0.532311376	0.001716108	0.157933282	-0.015792909	-0.002126087
SRR11639991	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	15P-16S reads of oak Pericarp_Rep 15	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.402284662	-0.020640536	0.081516334	1.185414651	-0.209915675	-0.084281685	6	0.210716666	-0.078211924	-0.085865267	-0.017982596	-0.00072507
SRR11639994	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	12P-16S reads of oak Pericarp_Rep 12	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.409672282	-0.028630578	0.010708972	0.84180086	-0.181704093	0.072270526	2	0.010708972	-0.212748367	-0.043130496	-0.018399032	-0.000153243
SRR11639997	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	9P-16S reads of oak Pericarp_Rep 9	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.406696877	-0.026079851	0.028975724	1.002963069	-0.145310128	-0.081261372	4	0.057951448	-0.150593176	-0.115407327	-0.018341497	-0.000224785
SRR11640001	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	6P-16S reads of oak Pericarp_Rep 6	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.408986086	-0.029945773	0.04806522	1.018647137	-0.305671987	0.210277026	4	0.09613044	-0.140539949	0.046659362	-0.018039572	-0.000413113
SRR11640004	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	3P-16S reads of oak Pericarp_Rep 3	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.212532051	0.031616564	0.300124336	3.162395603	0.430208276	0.22962438	28	1.442804203	0.482525583	-0.031205006	-0.018006657	0.000584889
SRR11640034	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	24E-16S reads of oak Embryo_Rep 24	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.294631142	-0.004959569	0.297939144	1.75132198	0.345702499	0.15931388	13	1.102505842	0.195245432	0.113094318	-0.013098296	-0.003370276
SRR11640088	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	2E-16S reads of oak Embryo_Rep 2	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.534428875	-0.147767073	0.162678043	1.655162121	0.392861932	0.159082596	12	0.583194685	0.171864183	0.160399952	0.009666812	0.023682169
SRR11639982	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	23P-16S reads of oak Pericarp_Rep 23	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.392319197	-0.023146367	0.132618005	0.909125689	-0.086638601	-0.176297319	6	0.342812569	-0.189240837	-0.031029041	-0.017347868	-0.00090768
SRR11639985	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	20P-16S reads of oak Pericarp_Rep 20	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.573150557	0.074978538	0.386505001	1.726638864	0.207606021	-0.276691999	10	1.283941821	0.097207173	-0.181445538	0.036654189	-0.003507191
SRR11639988	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	17P-16S reads of oak Pericarp_Rep 17	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.389559383	-0.026488483	0.18308242	1.042350449	-0.213873154	0.011415429	5	0.425104214	-0.130857249	0.054575794	-0.01750588	-0.002218053
SRR11639992	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	14P-16S reads of oak Pericarp_Rep 14	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.352633004	0.000509677	0.413603676	1.218036268	-0.152320283	-0.12520117	7	1.161132315	-0.067953592	-0.080372148	0.005840502	-0.057011568
SRR11639995	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	11P-16S reads of oak Pericarp_Rep 11	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.409954436	-0.030705939	0.128176002	1.005145231	-0.345951244	0.424800469	2	0.128176002	-0.143213981	0.049865594	-0.018260834	-0.001029701
SRR11639998	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	8P-16S reads of oak Pericarp_Rep 8	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.406054395	-0.027546651	0.033713983	0.878377471	-0.120910195	0.091880826	3	0.053435399	-0.205284407	-0.04627897	-0.018288818	-0.000306505
SRR11640002	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	5P-16S reads of oak Pericarp_Rep 5	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.198179073	0.032078739	0.352382221	1.244341461	0.098438413	-0.232148882	6	0.910894826	-0.05584338	-0.07346545	-0.011579828	-0.001815246
SRR11640005	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	2P-16S reads of oak Pericarp_Rep 2	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.303715052	-0.11385696	0.422947047	1.067143004	-0.154584733	0.026229283	5	0.982052632	-0.120932821	0.054992971	0.004040789	0.013931762
SRR11640089	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	1E-16S reads of oak Embryo_Rep 1	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.343372954	0.002852965	0.398635735	2.836899749	0.300864639	0.341297571	24	1.827729899	0.409156846	-0.001462911	-0.0598197	-0.022790718
SRR11639983	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	22P-16S reads of oak Pericarp_Rep 22	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.15749386	0.289020406	0.642124907	1.073754431	-0.03021337	-0.297021791	6	1.659868805	-0.115580087	-0.187552667	0.032689563	-0.027751905
SRR11639986	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	19P-16S reads of oak Pericarp_Rep 19	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.331452699	-0.020269445	0.498897548	1.259885274	-0.194305368	-0.03418471	6	1.289631453	0.001333251	0.157093803	0.011884493	0.00795152
SRR11639990	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	16P-16S reads of oak Pericarp_Rep 16	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.537059165	-0.011403525	0.33159124	1.509661006	0.054518919	-0.137510264	13	1.227033393	0.050696091	0.200523903	0.022756423	0.010746979
SRR11639993	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	13P-16S reads of oak Pericarp_Rep 13	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.565379284	-0.159098647	0.148946081	1.164598698	-0.035651351	-0.123280095	8	0.446838243	-0.108242202	0.054661011	0.011257201	0.022617029
SRR11639996	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	10P-16S reads of oak Pericarp_Rep 10	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.523962417	-0.142814171	0.189612653	1.116038226	0.125798176	-0.152348211	6	0.490141597	-0.089355196	0.054996346	0.009686713	0.022541251
SRR11639999	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	7P-16S reads of oak Pericarp_Rep 7	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.489740131	-0.100800479	0.341024124	1.043484653	-0.240338397	-0.045642881	5	0.791833494	-0.129840577	0.046242482	0.010489049	0.018703736
SRR11640006	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Pericarp	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	1P-16S reads of oak Pericarp_Rep 1	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		-0.410272822	-0.029543737	0.010708972	1.005145231	-0.345951244	0.424800469	2	0.010708972	-0.143213981	0.049865594	-0.018340559	-0.000176422
SRR11640036	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	22E-16S reads of oak Embryo_Rep 22	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.527326045	0.138955247	0.523677716	1.041195017	0.011766922	-0.163344418	5	1.215942001	-0.118802122	0.016354015	0.036165388	-0.006188836
SRR11640039	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	19E-16S reads of oak Embryo_Rep 19	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.517625369	-0.084147707	0.350569945	2.538807245	0.258718743	0.096983672	16	1.402279778	0.350431153	-0.098198295	0.02169673	0.023429754
SRR11640042	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	16E-16S reads of oak Embryo_Rep 16	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.574644554	-0.059809805	0.328940367	2.666734471	0.426322012	0.149557349	18	1.371656661	0.400897208	-0.043649202	0.025758968	0.019249327
SRR11640114	1075	Abdelfattah_A_2020	Abdelfattah et al 2020	PRJNA627957	Stockholm University	16S rRNA-V4	Quercus robur L	Fagaceae	Oak	Unknown	Seed	Embryo	Illumina MiSeq	PAIRED	Oak--Abdelfattah_A_2020	5E-16S reads of oak Embryo_Rep 5	2019	Sweden	Manual	None	Field	Surface-disinfected	Grinding	1		0.293930895	0.546027988	0.529203531	1.877540325	0.355887113	-0.032904538	13	1.958285763	0.269697346	-0.052995731	0.070174784	-0.032378568
0F1SS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	None	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Source_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.504680442	-0.001070742	0.531326697	0.71660897	-0.360483508	0.015022209	7	1.491622619	-0.364457378	0.079608307	-0.078769569	-0.001446614
0F2SS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	None	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Source_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.527529177	-0.009410533	0.511878925	0.639794695	-0.36022831	0.024544619	6	1.323187827	-0.405480065	0.058761434	-0.078432221	-0.001486912
0F3SS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	None	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Source_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.515977435	-0.005885517	0.519970429	0.927821405	-0.346650798	-0.02569263	7	1.459741543	-0.24808211	-0.207107923	-0.075490611	-0.00209225
0R1SS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Red_Hawk	Seed	None	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Source_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.495765527	-0.004421322	0.564687698	0.694456346	-0.389294852	0.018869458	5	1.311164231	-0.373746276	-0.007321753	-0.081702134	-0.001003568
0R2SS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Red_Hawk	Seed	None	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Source_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.477090109	-0.000659708	0.503939415	0.990657722	-0.280994377	-0.061098772	7	1.414736797	-0.21073457	-0.22629116	-0.080339198	-0.001927239
0R3SS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Red_Hawk	Seed	None	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Source_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.484913366	0.030682496	0.461291452	1.320710544	-0.023621014	-0.073727895	13	1.70698121	-0.033648908	-0.264536871	-0.071511644	-0.007825859
1FC02MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.521427162	-0.008317174	0.586206381	0.631604456	-0.422542545	-0.005369372	5	1.361129065	-0.404098222	0.055634856	-0.076849524	-0.001760604
1FC04MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.525174979	-0.009018316	0.469706762	0.947091416	-0.368171109	-0.007765005	8	1.409120285	-0.324428348	0.152146802	-0.074042921	-0.002113287
1FC05FS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Fresh_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.405973388	0.120591122	0.601973855	2.692045399	0.358541925	-0.328168319	30	2.95381985	0.330796814	0.021581663	0.063239269	-0.022576535
1FC06MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.526387098	-0.007455309	0.516143172	0.917315188	-0.33347294	-0.023949309	6	1.334210744	-0.245752109	-0.210105986	-0.074536864	-0.002268094
1FC07FS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Fresh_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.430287364	0.084834311	0.658679624	1.926834012	0.259355081	-0.034130513	11	2.278657117	0.139426211	-0.183015171	0.045663766	-0.01035902
1FC08MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.518365556	0.002485378	0.524880701	0.917315188	-0.33347294	-0.023949309	6	1.356796929	-0.245752109	-0.210105986	-0.07496424	-0.003930938
1FC10MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.524688558	-0.008878298	0.608195033	0.639794689	-0.453603043	-0.005194289	5	1.412185135	-0.405480069	0.058761435	-0.072751892	-0.002335109
1FD02MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Drought	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.510322166	0.014576261	0.469118227	1.127829201	-0.155960112	-0.058288561	9	1.487069597	-0.122738236	-0.286294117	-0.06945128	-0.00656973
1FD03FS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Drought	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Fresh_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.367833813	0.252432187	0.663876685	2.952321205	0.303049606	-0.382210491	35	3.405211403	0.359140853	0.066126355	0.067944054	-0.046614248
1FD04MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Drought	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.532141883	-0.010129186	0.493190083	0.707278547	-0.374979903	0.013653983	7	1.384559606	-0.375262996	-0.003597569	-0.074625145	-0.002071056
1FD06MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Drought	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.528543801	-0.009522748	0.522737136	0.839116044	-0.427117929	-0.006858422	6	1.351255893	-0.370782657	0.134315925	-0.076927386	-0.001697364
1FD07FS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Drought	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Fresh_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.349447274	0.408511987	0.748373391	2.444717715	0.274676018	-0.371755059	22	3.337319963	0.27183902	-0.015024003	0.06029544	-0.086617679
1FD08MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Drought	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.527433088	-0.009394439	0.512057971	0.701492947	-0.350489001	0.018916822	6	1.323650653	-0.374815745	-0.004861369	-0.075636619	-0.001919135
1FD10MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Drought	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.527104722	-0.006090081	0.495022667	0.707278547	-0.386559976	0.002652306	7	1.389704319	-0.375262996	-0.003597569	-0.075400709	-0.001966735
1FN02MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Excess_Nutrient	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.519081939	0.003476786	0.489024616	1.086890301	-0.270380257	-0.057859549	7	1.372865664	-0.138681596	-0.28435605	-0.074936961	-0.003661558
1FN04MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Excess_Nutrient	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.532227426	-0.008924632	0.499599206	0.642126726	-0.392418798	-0.016456575	6	1.291445213	-0.404825635	0.058862874	-0.076452506	-0.001802586
1FN06MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Excess_Nutrient	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.527319854	-0.009329093	0.53241765	0.839116044	-0.427117929	-0.006858422	6	1.37627966	-0.370782657	0.134315925	-0.074737184	-0.002017109
1FN08MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Excess_Nutrient	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.527213873	-0.009323662	0.60273666	0.639794689	-0.453603043	-0.005194289	5	1.399511185	-0.405480069	0.058761435	-0.075761306	-0.001890022
1FN10MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Flavert	Seed	Excess_Nutrient	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.525726251	0.001193582	0.440691848	1.299033857	-0.269317164	-0.070355849	10	1.46394663	-0.117120639	-0.21321599	-0.075188681	-0.00274246
1RC01FS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Red_Hawk	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Fresh_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.354534077	0.353014173	0.68526984	3.422149307	0.318024146	-0.425592233	65	4.126947026	0.373269025	0.098121233	0.083377152	-0.075079961
1RC02MS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Red_Hawk	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Mature_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		-0.53388135	-0.00846676	0.405381476	1.059152815	-0.298375005	-0.007545632	7	1.138049682	-0.253689521	0.214977824	-0.081270166	-0.001401374
1RC03FS	1003	Barret_M_2020	Unpublished	None	IRHS	16S rRNA-V4	Phaseolus vulgaris	Fabaceae	Bean	Red_Hawk	Seed	Control	Illumina MiSeq	PAIRED	Bean--Barret_M_2020	Fresh_Seed	2020	France	Manual	None	Greenhouse	Total	Soaking	5		0.280129127	0.474809661	0.713681366	3.591350331	0.287304508	-0.438205088	73	4.417562449	0.377387582	0.115540745	0.087436996	-0.115165032
