SampleID	Seq_number_Subset2	Study_ID	Publication	study_accession	Study_Origin	Gene	Plant_species	Family	Plant	Genotype	Habitat	Condition	instrument_model	library_layout	PlantbyStudy	sample_title	Year	Country	Harvest	Inoculation	Site	Seed_fraction	Microbe_collection	Seed_number	Seed_mass_g	bray1	bray2	pielou_e	faith_pd	jaccard1	jaccard2	observed_otus	shannon	unweighted1	unweighted2	weighted1	weighted2
SRR7141392	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria viridis	Poaceae	Setaria viridis	Unknown	Seed	S3	Illumina MiSeq	PAIRED	Setaria viridis--Escobar-Rodriguez_C_2018	S3Sv_panicle_replicate3	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.246235843	0.026095456	0.615322016	7.154570105	-0.078970842	0.097043817	15	2.403995797	0.153687708	0.045605808	0.084104344	0.052145231
SRR7141396	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	S5	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	S5Sp_panicle_replicate1	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	-0.234798095	-0.080310106	0.68113535	10.6335768	0.153378624	0.02628943	91	4.432688979	-0.014775884	-0.047158039	-0.064318817	-0.079138608
SRR7141397	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	S5	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	S5Sp_panicle_replicate2	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	-0.014523035	-0.209137255	0.787912589	10.33942472	0.208018405	-0.007247193	94	5.16444307	0.018399285	-0.03460514	-0.005597531	-0.063019695
SRR7141399	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria viridis	Poaceae	Setaria viridis	Unknown	Seed	L7	Illumina MiSeq	PAIRED	Setaria viridis--Escobar-Rodriguez_C_2018	L7Sv_panicle_replicate1	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.005835718	-0.217197583	0.75237531	13.09344768	0.141059669	0.028824115	133	5.308220312	-0.104067117	-0.101322956	0.012567106	-0.013283236
SRR7141400	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria viridis	Poaceae	Setaria viridis	Unknown	Seed	L7	Illumina MiSeq	PAIRED	Setaria viridis--Escobar-Rodriguez_C_2018	L7Sv_panicle_replicate2	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.209342997	-0.234386344	0.395876931	8.604983411	0.095911128	-0.139477104	47	2.198933587	0.080143267	-0.022772516	0.151421888	0.086131811
SRR7141405	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	L6	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	L6Sp_panicle_replicate2	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.222851304	-0.13202361	0.457634625	9.262235944	0.024876099	0.046668084	50	2.582824013	0.055622032	-0.034714135	0.086206892	0.075809569
SRR7141406	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	L6	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	L6Sp_panicle_replicate3	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.208024417	-0.08672017	0.566123085	8.549318619	0.117602779	0.105007335	42	3.052715377	0.119144696	0.005000675	0.088989251	-0.145057382
SRR7141410	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria viridis	Poaceae	Setaria viridis	Unknown	Seed	S1	Illumina MiSeq	PAIRED	Setaria viridis--Escobar-Rodriguez_C_2018	S1Sv_panicle_replicate3	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	-0.432992258	-0.096163025	0.601081856	10.18525823	-0.033392727	-0.102055054	66	3.633175638	0.02363233	-0.030962961	-0.02548542	-0.095083514
SRR7141412	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	S3	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	S3Sp_panicle_replicate3	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.161783756	0.220538805	0.487424971	8.999078289	-0.047391363	0.154919805	42	2.628350162	0.066404558	-0.02189194	-0.002285952	-0.017086653
SRR7141413	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	S3	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	S3Sp_panicle_replicate2	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	-0.110044589	-0.033839653	0.760531123	9.253722583	0.022188847	0.048267681	48	4.247537801	0.040684336	-0.072193957	0.025640131	-0.119316634
SRR7141414	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	S3	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	S3Sp_panicle_replicate1	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.13653411	0.030357212	0.664761368	8.465938597	0.115469151	0.071650894	42	3.584604305	0.088427308	-0.013992456	0.049110109	-0.022304705
SRR7141418	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria viridis	Poaceae	Setaria viridis	Unknown	Seed	S2	Illumina MiSeq	PAIRED	Setaria viridis--Escobar-Rodriguez_C_2018	S2Sv_panicle_replicate4	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.253859485	0.193878737	0.666703525	9.751253276	-0.10478678	-0.132295037	54	3.836803785	0.087407432	0.090010082	-0.168203259	0.100236537
SRR7141419	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria viridis	Poaceae	Setaria viridis	Unknown	Seed	S2	Illumina MiSeq	PAIRED	Setaria viridis--Escobar-Rodriguez_C_2018	S2Sv_panicle_replicate2	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.086838498	0.340031298	0.49557402	14.9233873	-0.189877374	-0.012310055	73	3.06751624	-0.2006148	0.321614181	0.036997232	0.067554085
SRR7141420	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria viridis	Poaceae	Setaria viridis	Unknown	Seed	S2	Illumina MiSeq	PAIRED	Setaria viridis--Escobar-Rodriguez_C_2018	S2Sv_panicle_replicate1	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.179000269	0.234173929	0.595121465	10.16123213	-0.245809964	-0.046808209	52	3.392454036	0.031719343	0.057403635	0.094508945	0.092861819
SRR7141421	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria viridis	Poaceae	Setaria viridis	Unknown	Seed	B1	Illumina MiSeq	PAIRED	Setaria viridis--Escobar-Rodriguez_C_2018	B1Sv_panicle_replicate2	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	-0.263511608	-0.094745264	0.705573099	10.11056116	-0.207422882	-0.294209164	59	4.150634689	0.049609292	0.067730399	0.038084519	-0.021397393
SRR7141424	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	L6	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	L6Sp_panicle_replicate1	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.220394605	-0.008783575	0.650971384	10.06955603	0.010245248	0.076539309	63	3.891038182	-0.010113538	-0.08096111	0.110664586	0.076294467
SRR7141425	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria viridis	Poaceae	Setaria viridis	Unknown	Seed	L9	Illumina MiSeq	PAIRED	Setaria viridis--Escobar-Rodriguez_C_2018	L9Sv_panicle_replicate3	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	-0.071296894	0.456887301	0.465344418	11.04041265	-0.204578778	0.17646397	70	2.85222764	-0.059731728	-0.058985773	-0.341200024	0.171945058
SRR7141428	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	L3	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	L3Sp_panicle_replicate3	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.134082976	-0.143106445	0.687753327	8.929938278	0.203078812	-0.069160124	64	4.126519965	0.071176193	-0.029684778	0.126101812	0.081524261
SRR7141433	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	L3	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	L3Sp_panicle_replicate2	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.169635488	-0.127685845	0.686113325	7.865150393	0.186023661	-0.01747084	42	3.699740837	0.128384674	0.012062653	0.130414963	0.078746065
SRR7141434	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	L3	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	L3Sp_panicle_replicate1	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.217761106	-0.192542069	0.689370242	8.378512423	0.166945627	-0.016827156	48	3.850106952	0.10204275	-0.005130779	0.133343417	0.078765159
SRR7141435	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	L4	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	L4Sp_panicle_replicate2	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.217831568	-0.211271028	0.745958417	9.294303466	0.195387326	-0.137371463	73	4.61735173	0.076212846	0.016058789	0.06882608	0.010256228
SRR7141436	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	L4	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	L4Sp_panicle_replicate1	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.156942996	-0.236035549	0.603944697	8.905653874	-0.03663306	-0.252801198	46	3.335925951	0.115420131	0.089231881	0.103665991	0.074507625
SRR7141439	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	B1	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	B1Sp_panicle_replicate3	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.139781271	0.238866041	0.427720696	10.33771456	-0.144769103	0.196109413	58	2.505579711	-0.028231845	-0.084276604	-0.175313502	0.042043461
SRR7141441	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	B1	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	B1Sp_panicle_replicate1	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.172883927	0.212912354	0.568818793	17.13041778	-0.043724542	0.130189536	47	3.159554528	-0.25714871	0.284214465	-0.269722558	0.069571742
SRR7141442	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	B1	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	B1Sp_panicle_replicate2	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.174794243	0.234023184	0.597643961	11.70382326	-0.07656489	0.266425269	90	3.879816801	-0.104157434	-0.12231983	-0.182489253	0.055204549
SRR7141443	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	S2	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	S2Sp_panicle_replicate4	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.233686203	0.185079273	0.59401068	10.23726894	-0.119107188	0.174599829	53	3.402445925	0.008719531	-0.056406718	0.045208034	0.064568519
SRR7141445	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	S2	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	S2Sp_panicle_replicate1	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.00203304	0.078442049	0.50861621	12.9171539	-0.095090511	0.141605418	125	3.542910799	-0.111691955	-0.090191577	0.012329568	0.013670698
SRR7141446	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria pumila	Poaceae	Setaria pumila	Unknown	Seed	S2	Illumina MiSeq	PAIRED	Setaria pumila--Escobar-Rodriguez_C_2018	S2Sp_panicle_replicate2	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.284026315	-0.233194271	0.610429039	7.445050456	0.140722549	0.047561674	26	2.869284899	0.153859357	0.03330474	0.09673903	0.076338012
SRR7141447	5724	Escobar-Rodriguez_C_2018	Escobar-Rodriguez et al 2018	PRJNA470571	Austrian Institute of Technology GmbH	16S rRNA-V5-V6	Setaria viridis	Poaceae	Setaria viridis	Unknown	Seed	L4	Illumina MiSeq	PAIRED	Setaria viridis--Escobar-Rodriguez_C_2018	L4Sv_panicle_replicate3	2013	Austria	Manual	None	Field	Surface-disinfected	Grinding		0.5	0.228391329	-0.212868584	0.714136921	8.772674144	0.2167406	-0.116173825	68	4.347281967	0.085910981	-0.017715172	0.096214689	-0.022721224
