SampleID	Unclassified Capnodiales	Alternaria metachromatica-2	Cladosporium perangustum-2	Vishniacozyma victoriae-2	Epicoccum nigrum	Alternaria metachromatica-1	Alternaria sp	Aureobasidium pullulans	Vishniacozyma victoriae-1	Gibberella acuminata	Alternaria metachromatica-3	Filobasidium sp	Unclassified Sclerotiniaceae	Vishniacozyma tephrensis	Sporobolomyces roseus	Cladosporium perangustum-1
ITS-Colvert-B2-3	116	11		61		72	4		47		15	57	72	7	156	93
ITS-Colvert-B2-4	102	7		45		88	6	2	39	2	11	69	121		144	82
ITS-Colvert-B2-5	98	6	3	49		84	4	1	37		7	76	105	6	157	94
ITS-Express-AF-1	172	13		99	1	112	12		100		28	7	217	5	45	60
ITS-Express-AF-2	214	9		114		106	10		63		20	12	223	7	38	86
ITS-Express-AF-3	152	33		61		244	11		52		41	13	52	3	36	43
ITS-Express-AF-4	192	16		82		196	13		50		34	12	180	2	32	70
ITS-Express-AF-5	210	17		74		176	25		60		36	10	196	6	29	70
ITS-Express-B1-1	67	9		32		131	6		36		23	34	316	1	60	36
ITS-Express-B1-2	73	9		30		64	4		31	2	25	45	309	4	42	70
ITS-Express-B1-3	93	11		24		99	8		33	1	18	69	323	2	69	66
ITS-Express-B1-4	79	12		32		112	4		34	3	20	36	330	3	61	55
ITS-Express-B1-5	86	17		46		73	4		29	1	12	34	311	4	70	58
ITS-Express-B2-1	100	9		38		112	2	5	28	1	23	69	167	2	112	85
ITS-Express-B2-2	48	21		20		126	4		44	3	33	34	213	1	43	34
ITS-Express-B2-3	85	8		41		98	6	1	46	1	12	50	234	3	85	63
ITS-Express-B2-4	78	16		42		175	9		55	1	39	36	171	1	67	51
ITS-Express-B2-5	56	11		31		115	6		43	1	20	28	259		29	40
ITS-Major-AF-1	143	25		37	1	250	11	1	27		47	28	43	2	13	49
ITS-Major-AF-2	179	28		78		244	17	2	42		42	20	79	1	21	44
ITS-Major-AF-3	159	18		81	5	201	10		37		39	18	31	4	36	37
ITS-Major-AF-4	143	23		77	1	203	12		62		35	17	119	4	16	58
ITS-Major-AF-5	208	15		107		181	21		60		34	21	176	7	25	65
ITS-Major-B1-1	93	5		61	1	104	4	5	43	1	26	57	207	1	76	81
ITS-Major-B1-2	70	10		42		96	3		29	3	19	48	314	3	73	63
ITS-Major-B1-3	102	9		57		100	7		21	2	14	55	230	5	60	67
ITS-Major-B1-4	99	8		42		91	12		44	2	17	48	259	4	77	74
ITS-Major-B1-5	91	8		42		82	4		27		7	52	266	3	76	71
ITS-Major-B2-1	93	9		32		106	7	1	37	3	13	42	271	4	74	61
ITS-Major-B2-2	102	5	2	61		90	7		32	1	13	79	110	8	126	78
ITS-Major-B2-3	119	11		37		77	2		50	2	13	77	137	6	118	108
ITS-Major-B2-4	110	11		38		134	8		44		31	50	82	4	106	92
ITS-Major-B2-5	104	13		56		112	6		37	3	17	47	129	7	90	100
ITS-Mohican-AF-1	194	15		103		222	9		101		41	15	109	1	51	38
ITS-Mohican-AF-2	185	35		51		269	16		57		65	25	121	5	41	51
ITS-Mohican-AF-3	203	32		86		263	8		80		65	14	77	5	35	53
ITS-Mohican-AF-4	192	31		74		290	8		62		58	22	79	5	41	46
ITS-Mohican-AF-5	211	24		80		228	7		82		36	18	35	3	76	64
ITS-Mohican-B1-1	116	11	2	45		65	2		53	1	7	47	175	9	127	93
ITS-Mohican-B1-2	130	13	2	42		121	7	1	46	1	18	23	157	7	99	90
ITS-Mohican-B1-3	142	9		40		82	3	2	41	4	15	30	143	7	134	83
ITS-Mohican-B1-4	100			26		63	8		89	1	12	20	133	2	92	75
ITS-Mohican-B1-5	118	11		50		111	5		76	1	22	30	143	2	123	88
ITS-Mohican-B2-1	80	15		42		130			56	1	10	20	174	6	95	64
ITS-Mohican-B2-2	83	16	1	49		154	3		57	3	23	29	192	4	107	75
ITS-Mohican-B2-3	96	9	1	42		161	2		63		34	24	172	4	107	54
ITS-Mohican-B2-4	104	13	1	39		113	8		59		28	19	157	4	108	71
ITS-Mohican-B2-5	103	12		27		120	4	1	51	9	16	28	281	5	93	64
ITS-Tenor-AF-1	294	23	1	47		186	23		62		27	14	76	4	85	46
ITS-Tenor-AF-2	279	15	3	64	1	147	17		102		19	7	94	7	67	36
ITS-Tenor-AF-3	322	20		64	1	205	22		66		24	4	79	8	51	55
ITS-Tenor-AF-4	266	15		61		174	26	1	55		31	7	127	13	77	50
ITS-Tenor-AF-5	296	28		48	1	214	28		54		40	6	83	6	60	45
ITS-Tenor-B1-1	129	11	4	29		92	7	1	47	7	23	24	214	3	102	88
ITS-Tenor-B1-2	122	7		40		71	6	1	42	1	26	22	200	1	102	76
ITS-Tenor-B1-3	117	19	1	40		135	9		49		27	27	199	6	101	69
ITS-Tenor-B1-4	117	11		40		101	11		60	2	11	22	235	6	118	84
ITS-Tenor-B1-5	105	9		24		95	6		42		19	18	230	2	124	95
ITS-Tenor-B2-1	91	15	5	24		136	6	1	38	1	20	24	269	3	134	65
ITS-Tenor-B2-2	90	11		44		94	6		47		7	27	204	1	187	47
ITS-Tenor-B2-3	82	15	1	86		104	9		29		21	19	213		122	58
ITS-Tenor-B2-4	111	9		19		110	6	1	45	1	13	14	275	9	121	64
ITS-Tenor-B2-5	86	9		26	1	117	5		56		28	14	245	2	101	56
ITS-Zorro-AF-1	188	24		78		106	12		61		15	13	264	1	39	93
ITS-Zorro-AF-2	217	10		94		105			53		54	9	240	4	29	80
ITS-Zorro-AF-3	205	11		76		78	4	1	54		17	6	213	6	49	110
ITS-Zorro-AF-4	231	8		73		67	3	56	59	1	7	13	182	4	42	81
ITS-Zorro-AF-5	138			70		47	2	2	54		12	2	353	8	18	91
ITS-Zorro-B1-1	76	14	2	49		114	8		44		32	25	291	7	86	51
ITS-Zorro-B1-2	96	9		34		98	3	2	56		13	28	302	3	76	62
ITS-Zorro-B1-3	96	8		33		109	1		29		12	29	341		82	59
ITS-Zorro-B1-4	103	12		32		104	8	1	30		22	27	346	3	67	63
ITS-Zorro-B1-5	94	6		44		89	2		45	1	16	26	307	7	102	56
ITS-Zorro-B2-1	90	18		40		179	3		44	1	27	36	234	3	81	68
ITS-Zorro-B2-2	84	7		40		107	4		62	1	22	56	177	3	92	57
ITS-Zorro-B2-3	91	16		63		108	10		48	1	20	38	189	6	89	44
ITS-Zorro-B2-4	87	9	1	41		184	7	1	59		36	43	172	7	89	46
ITS-Zorro-B2-5	97	13		43		158	5		45	1	21	29	158	4	79	57
ITS-AF-2017-Astrid-1	325	35	7		1	278	9		16		79	7	4	3	22	156
ITS-AF-2017-Astrid-2	317	25	5	1	2	259	6		11		59	9	21	2	6	208
ITS-AF-2017-Astrid-3	286	42	6	8	1	298	9		20		85	5	9	1	9	157
ITS-AF-2017-Astrid-4	332	26	7	2	2	244	4		23		63	6	12	4	15	173
ITS-AF-2017-Astrid-5	269	40	8	5	3	292	1		18		73	7	2	2	10	184
ITS-AF-2017-Aviso-1	268	21	6	2	1	265	1		12		67	2	36		11	261
ITS-AF-2017-Aviso-2	271	31	6	1	3	239	1		10		73	7	44		11	250
ITS-AF-2017-Aviso-3	284	28	8	3	4	282	2		5		63	6	34	1	5	246
ITS-AF-2017-Aviso-4	307	26	9	2	5	224	5		19		53	1	43		6	259
ITS-AF-2017-Aviso-5	286	27	6	1	2	247	4	1	15		61	3	37		7	262
ITS-AF-2017-Boston-1	296	27	10	5	3	273	4	1	24		67	9	22	3	10	171
ITS-AF-2017-Boston-2	330	34	5	3	2	259	3		15		65	5	21	1	13	183
ITS-AF-2017-Boston-3	313	43	5	4	3	250	8		22		69	10	39		16	151
ITS-AF-2017-Boston-4	308	31	2	5	4	260	3		24		67	8	23	1	10	180
ITS-AF-2017-Boston-5	291	19	8	3	5	245	2		21		59	8	26	1	16	212
ITS-AF-2017-Colvert-1	220	44	8		2	408	3		3		113	2	6		10	95
ITS-AF-2017-Colvert-2	259	37	3	3	2	358	1		3		114	4	6	1	8	89
ITS-AF-2017-Colvert-3	255	33	2	2	1	348	3	1	8		85	13	6		7	109
ITS-AF-2017-Colvert-4	267	40	7		1	361	2		9		94	10	5	1	9	106
ITS-AF-2017-Colvert-5	251	27	4	1	1	429	4		6		104	2	1		3	100
ITS-AF-2017-Expert-1	232	36	3	1		417	1		6		109	5	10		7	112
ITS-AF-2017-Expert-2	243	29	13	2		365	1		5		91	3	12	1	5	144
ITS-AF-2017-Expert-3	223	33	3	2	2	385	2		8		113	6	13	1	7	134
ITS-AF-2017-Expert-4	226	52	7	3		397	3		7		97	6	10		10	126
ITS-AF-2017-Expert-5	264	35	8	1	3	356	3		6		91	3	28	1	6	142
ITS-AF-2017-Major-1	300	39	3	2	4	271	3		6		80	10	5		6	183
ITS-AF-2017-Major-2	300	27	9	5	2	230	2		10		65	11	10	1	15	215
ITS-AF-2017-Major-3	305	31	8	1	1	245	7		7		67	7	12		7	177
ITS-AF-2017-Major-4	289	31	7	3		280	2	1	6		77	7	10		4	189
ITS-AF-2017-Major-5	300	25	11	1	1	274	3		7		85	7	12		10	176
ITS-AF-2017-Mohican-1	216	50	6	2	1	377	2	1	5		90	4	5		13	166
ITS-AF-2017-Mohican-2	233	43	8	1	2	342	3	1	2		111	8	10	2	8	160
ITS-AF-2017-Mohican-3	246	41	6	4	3	334	10		10		89	3	8	2	17	164
ITS-AF-2017-Mohican-4	253	39	6	3	3	333	2		6		96	3	5		13	153
ITS-AF-2017-Mohican-5	233	38	8	4	2	372	6	1	5		81	4	5		4	161
ITS-AF-2017-Tenor-1	259	35	5	3	1	353	6		13		85	16	3	1	12	153
ITS-AF-2017-Tenor-2	319	24	9	3	1	328	6		11		90	3	1	1	6	145
ITS-AF-2017-Tenor-3	293	38	6	5	1	324	5		12		77	6	3		8	151
ITS-AF-2017-Tenor-4	257	41	9	1		365	4		9		84	4	4		13	150
ITS-AF-2017-Tenor-5	299	42	3	4	1	353	4		17		68	9	3		12	120
ITS-AF-2017-Zorro-1	252	29	10	2		368	13		8		81	6	7	1	13	120
ITS-AF-2017-Zorro-2	236	42	9	9		359	8		11		86	3	6		9	146
ITS-AF-2017-Zorro-3	225	39	15	3	3	335	14		13		104	5	5	1	20	157
ITS-AF-2017-Zorro-4	239	36	6	1	1	370	5	1	4		91	4	4		10	174
ITS-AF-2017-Zorro-5	219	33	11	2	2	352	7		8		95	3	5	2	8	168
ITS-AP-NIC-D-1000													482			97
ITS-AP-NIC-ND-1000	15	20	14	6		221	13	39	20	5	61	4	20	3	3	74
ITS-AP-PIG-D-1000		53				149		1							30	70
ITS-AP-PIG-ND-966	71	25	21	7	1	265	27	13	13		62	3	1	6		134
ITS-AP-VEL2-D-1000						37							149			184
ITS-AP-VEL2-ND-1000	415	10	2			226	33				39	1				25
ITS-AP-Veluwe-D-1000	148												124			722
ITS-AP-Veluwe-ND-1000	158		55			4	7	6	2							599
ITS-AT-ARN-D-1000	54	53				145	176	22			36		170			122
ITS-AT-ARN-ND-1000							154									
ITS-AT-BOU-D-1000																
ITS-AT-BOU-ND-1000						33						596				
ITS-AT-DOM-D-1000													330			
ITS-AT-DOM-ND-1000			356										532			
ITS-AT-LM-D-1000																
ITS-AT-LM-ND-1000						385										
ITS-BI-JUI-D-1000								2								982
ITS-BI-JUI-ND-977	4							5								1040
ITS-BN-BOU5-D					231											
ITS-BN-BOU5-ND	46	19				144	127	1	2		25	5				407
ITS-BV-JUI-D-1000							602	48								211
ITS-BV-JUI-ND-1000	12	17	13	1		56	112	93			14				2	632
ITS-CB-ARN-D-1000																
ITS-CB-BOU-D-1000								8								
ITS-CB-BOU-ND-1000		10	18	12		108		15			91	119	2		9	
ITS-CH-ARN-D-1000	28	29		25		37			57			177			13	124
ITS-CH-ARN-ND-965		7	32	58	12			6	48	63		204		19		61
ITS-CH-BOU2-ND-1000												380				313
ITS-CH-DOM-ND-1000																1
ITS-EV-ARN-D-1000																930
ITS-EV-ARN-ND-1000																
ITS-EV-BOU-D-1000							91		34			228		30	30	317
ITS-EV-BOU-ND-1000	23											607				1
ITS-RS-C-D-1000						5	573									421
ITS-RS-C-ND-1000	21	10		6	2	136	77		1	1	26	2	1	2	1	523
ITS-RS-PON-D-1000	14					85			202			147			151	
ITS-RS-PON-ND-1000	54	1	44			7	230	3		7		10	1		1	574
ITS-SA-ANG-ND-704	44	17			4	184	224	21	3		44	4	161		1	130
ITS-SA-LM-ND-1000	72	6	2	2		42	12	1	1		6	2				268
CAL-FA-FA2012-1-ITS-17	2		1	5	4	2	41			37			131	1		18
CAL-FA-FA2012-2-ITS-22	4			1	12	2	330			32			54			17
CAL-FA-FA2012-3-ITS-38				1	9		12			4		1	10			5
CAL-FA-HI2012-1-ITS-14	3				7		143			50			122	1		28
CAL-FA-HI2012-2-ITS-21	8		2	11	33	3	181			3		1	186	2		112
CAL-FA-HI2012-3-ITS-36				1	8		35			20			238			13
CAL-JM-HI2012-1-ITS-12	8		1	4	3	2	4		11			1	7	2	2	8
CAL-JM-HI2012-2-ITS-24	1			1			1		2			1		1		2
CAL-JM-HI2012-3-ITS-36	2			13	1		1		15	1		2		5	1	6
CAL-JM-JM2012-1-ITS-15	2			5	1		5		4			5		2	1	6
CAL-JM-JM2012-2-ITS-21	9	1		2	1	2	2		4			2		2		17
CAL-JM-JM2012-3-ITS-34	8			22	6	10	17		35	1		14	13	5	5	19
FLA-CH-VI2012-1-ITS-na	2		4	46	3		6		398			22	6	2		49
FLA-CH-VI2012-2-ITS-na	36		35	25	3		13		276	1		24	7			206
FLA-CH-VI2012-3-ITS-na	42		77	22	1	3	15		155	3		17	21	2		354
FLA-FR-VI2012-1-ITS-na	22			94			5		6	1		7	517	8	7	150
FLA-FR-VI2012-2-ITS-na	27			116			3		20	3		9	422	13	8	141
FLA-FR-VI2012-3-ITS-na	27	1		94	3	7	18		4	7	2	15	396	7	14	144
FLC-FA-FA2012-1-ITS-11	3			11	11	1	40		4	11		2	161	3	1	44
FLC-FA-FA2012-2-ITS-24	2				7		20		1	10		1	411			32
FLC-FA-FA2012-3-ITS-37	4		3	7	28	1	132			23			189			47
FLC-JM-JM2012-1-ITS-13	2			6	1		2		2			2				3
FLC-JM-JM2012-2-ITS-25				2	1		1					3	1			3
FLC-JM-JM2012-3-ITS-32	6			5	4	2	3		11		1	3	4	1	2	19
RDB-FA-FA2012-1-ITS-13	5			5	24		232		1	82		1	117	1		16
RDB-FA-FA2012-2-ITS-27				5	1		20		1	53			447			10
RDB-FA-FA2012-3-ITS-33	6			4	18	1	292			49			41	1	1	32
RDB-JM-JM2012-1-ITS-14	15			3	1	10	24		7	1	2	1		4	1	116
RDB-JM-JM2012-2-ITS-22	16		3	24	5		21		27	3		3	13	12	6	14
RDB-JM-JM2012-3-ITS-31				3	2				1							
