SampleID	Methylobacterium	Pseudomonas-4	Pseudomonas-3	Unclassified Microbacteriaceae	Paenibacillus	Pseudomonas-2	Unclassified Enterobacteriaceae	Sphingomonas	Pseudomonas-1	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium-2	Pantoea	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium-1	Pseudomonas-5
TEN1a			8	10	13	3	11	27	14		808		4
TEN1b			12		21	16	383	6	21		211	6	92
TEN1c			29		25	16	293	4	10		411	4	55
TEN2a			7	16	41	13	122	54	36		217	1	22
TEN2b	3		4	27	14	3	18	71	28		81	4	8
TEN2c			108	35	34	18	124	52	38	3	240	8	36
TEN3a			3	2	9	36	421	17	298		29		
TEN3b		1		4	2	5	35	9	27		10	2	1
TEN3c				3	1	40	3	16	6		770	2	
ZOR1a		5	16	10	36	260	21	14	31		504	1	35
ZOR1b			9	2	200	14	515	4	79		32		97
ZOR1c		4	10	8	13	42	328	38	9		368	7	27
ZOR2a			4		66	2	13	5	55		826		
ZOR2b			9	47	89	5	43	57	162		437		3
ZOR2c			4	1	13	5	9	19	12		866	1	
ZOR3a				1	1	4	12	1			973		
ZOR3b			5	6	6	12	510	31	213		85		2
ZOR3c			1	5	21	25	185	15	69		92	2	6
16S-1Bristol-F11	1			202		5		215	46	28	11	8	
16S-2Bristol-G11	1	2		203		4	1	233	29	27	11	10	
16S-3Bristol-H11		1		195		2	2	210	29	16	18	8	1
16S-B13T6P1-C07	1			17				15	545	6	9		
16S-B13T6P2-D07				1		2	11	2	827		17		
16S-B13T6P3-E07	4		13	9		6		52	321	21	9		
16S-B13T6P4-F07	2			1		99	6	2	23				
16S-B13T6P5-G07				28		13	7	48	121	2	15		
16S-B13T6P6-H07				1		2		4	2				
16S-B13T6P7-A08	2		10	17		8	49	69	58		51	13	
16S-B14T6P1-H09	1			26	7	6	32	62	54	6	84		
16S-B14T6P2-A10					1	4	3	4	4		6		
16S-B14T6P3-B10				18		20	20	64	27	5	13		
16S-B14T6P4-C10				7		26	17	17	7		6		
16S-B14T6P5-D10													
16S-B14T6P6-E10			8	10		2	1	12	13	1	8		4
16S-B14T6P7-F10			3	11		7	9	55	14		18	9	
16S-B19T6P1-G10				24		9	5	68	8	7	47	2	
16S-B19T6P2-H10				11		11		30	6	5	49		
16S-B19T6P3-A11				24		7		15		4	20		
16S-B19T6P4-B11		4	10		36	92	764	2	7		10		6
16S-B19T6P5-C11					43	20	56	2	45	6			
16S-B19T6P6-D11			7			5	63	95	2	2	4		
16S-B19T6P7-E11			38		3	29	322	58	6	1	8	1	2
16S-B1T6P1-A09								2				1	869
16S-B1T6P2-B09	1		1	30	3	10	10	62	5	4	31	2	257
16S-B1T6P3-C09			26								885		
16S-B1T6P4-D09			20	1	1		2	4	64		713		8
16S-B1T6P5-E09	2	5	11	12		11	55	17	10		30	4	353
16S-B1T6P6-F09			253	15	8	23	42	27	55	5	70		25
16S-B1T6P7-G09			19	6	14	6	4	91	14	5	16	6	18
16S-B20T6P1-B08				1			5	3	3				
16S-B20T6P2-C08	4		6	14		3		34	24	7	10		
16S-B20T6P3-D08	3			15		13	2	30	15	6	1		
16S-B20T6P4-E08	2	5		11		12	6	24	10	5	21	5	
16S-B20T6P5-F08				14	2	3		49	103	10	4		
16S-B20T6P6-G08						294		2			550		
16S-B20T6P7-H08				1		3		1	1		840		
16S-B5T6P1-D06			1	17		2	15	20	4		27	3	
16S-B5T6P2-E06				8			13	7	20	1	10		
16S-B5T6P3-F06			8	25		4	29	35	55		26		
16S-B5T6P4-G06	1		14	15		17	22	76	58	3	21	1	
16S-B5T6P5-H06					1	2			7		24		
16S-B5T6P6-A07	1			3		4	7	7	5	2	9		
16S-B5T6P7-B07	3			35		11	11	54	25	5	38	9	
B22-1									174				
B22-2							4		201				
B28-1							41		209		15		
B28-2									283				
B28-3								1	244				
B35-1									245				
B35-2									305				
B35-3									295				
B42-1				6				2	271		7		
B42-2				5					293		5		
B42-3				3			47	2	280		12		
R-39-1							38				223		98
R-39-2					41		124		99		638	5	18
R18-1								4	33				96
R25-1											25		183
R25-2								1			143		509
R25-3									39				112
R32-1			4			41	443		11		172		241
R32-2											11		161
R32-3							2				861		30
R46-1							27	5			695	2	85
R46-3						10					954		7
R53-1			6				4		9		940		27
R53-2								26	85		56		
R67-3					2		872	2	5		72		9
16S-AP-NIC-D-1000			353		87	11			8		432	4	
16S-AP-NIC-ND-1000		10	111	5	8	89	13	34	207	4	191	16	37
16S-AP-PIG-D-1000			125		170	59			350		23		44
16S-AP-PIG-ND-966		29	94	4	58	40		4	77	1	35		23
16S-AP-VEL2-D-1000				2	689	14							49
16S-AP-VEL2-ND-1000		28		1	214	9			3		1		9
16S-AP-Veluwe-D-1000			63	2	550	24	1	5	3		74		6
16S-AP-Veluwe-ND-1000				2	75	9	97		93		585		8
16S-AT-ARN-D-1000			7	2	579	29			6		265		46
16S-AT-ARN-ND-1000				1	699	65	4	4	43		1		98
16S-AT-BOU-D-1000				12	770	56			5				25
16S-AT-BOU-ND-1000				6	591	19			4		2		12
16S-AT-DOM-D-1000	2			8	817	66		1	5		3		38
16S-AT-DOM-ND-1000	7			4	573	11		3		2			28
16S-AT-LM-D-1000	8			9	853	39	3		2				40
16S-AT-LM-ND-1000	15		4	7	783	63	1	8	1		2		32
16S-BI-JUI-D-1000			177		11	5			9		737		1
16S-BI-JUI-ND-977			15		7	13	2		36		879		
16S-BN-BOU5-D				1	607	108	15		15		4		125
16S-BN-BOU5-ND	1	2	9	4	29	140	163	13	154	40	81	20	7
16S-BV-JUI-D-1000		6			265	17			7		642	1	3
16S-BV-JUI-ND-1000		24	18		113	6			9		801		2
16S-CB-ARN-D-1000				1	829	28							24
16S-CB-ARN-ND-1000				4	232	8	4					4	712
16S-CB-BOU-D-1000				6	758	16	2		2				41
16S-CB-BOU-ND-1000	3	7	506	1	183	86		10				9	21
16S-CH-ARN-D-1000			19	1	585	114	1	3	20		1	12	153
16S-CH-ARN-ND-965	1		15	1	269	84						17	67
16S-CH-DOM-ND-1000					179				167				94
16S-EV-ARN-D-1000	1			2	798	40			8		38	5	35
16S-EV-ARN-ND-1000			13	9	747	55	4	2	8				45
16S-EV-BOU-D-1000		2	17	12	674	25		1	49		119	6	27
16S-EV-BOU-ND-1000	11			1	832	48	1		4				29
16S-RS-C-D-1000							5		16		952	4	8
16S-RS-C-ND-1000		1			2	37	36		4		721	26	101
16S-RS-PON-D-1000				3	350	25			59		496		24
16S-RS-PON-ND-1000			1		23	3		4	317	6	583	31	3
16S-SA-ANG-D-1000			3	1	582	107	5		2		191		66
16S-SA-ANG-ND-704		2	36	1	42	3			19		879		3
16S-SA-LM-ND-1000		8	24	9	24	7	55	11	324	7	133	14	5
SRR8857592	3											309	
SRR8857593	13											325	
SRR8857594	2											860	
SRR8857595	1											748	
SRR8857596	15											563	
SRR8857597	8											391	
SRR8857598	7											402	
SRR8857599	7											170	
SRR8857600	21											318	
SRR8857601	15						1					246	
SRR8857602	4											796	
SRR8857603												565	
SRR8857604	7											539	
SRR8857605	39											148	
SRR8857606	5											783	
SRR8857607	3											477	
SRR8857608	9						5					477	
SRR8857609	20											420	
SRR8857610												801	
SRR8857611	18											226	
SRR8857612	14											588	
SRR8857613	24											417	
SRR8857614	11											322	
SRR8857615	2											609	
16S-01-a-A02					2	3	44	27			12	6	3
16S-01-b-B02					1	3	44	11			25	4	
16S-02-a-C02							39	24	5		17	2	1
16S-02-b-D02				2	1		41	16	4		17	1	1
16S-03-a-E02	2			1	1	15	10	47	3		5		
16S-03-b-F02				5		6	20	33	5		24		
16S-04-a-G02	5			9			22	73	2		7	5	6
16S-04-b-H02				2			15	92			4	11	
16S-05-a-A03													
16S-05-b-B03													
16S-06-a-C03							375						
16S-06-b-D03							396				2		
16S-07-a-E03							438						
16S-07-b-F03							447				1		
16S-08-a-G03							456						
16S-08-b-H03							479						
16S-09-a-A04							472						
16S-09-b-B04							471						
16S-10-a-C04							344						
16S-10-b-D04							308				4		
16S-11-a-E04							35						
16S-11-b-F04							28						
16S-12-a-G04						267	33						
16S-12-b-H04						311	40						
16S-13-a-A05						178	62						
16S-13-b-B05	1					214	48						
CAL-FA-FA2012-1-16S-17		281	537						2		11		1
CAL-FA-FA2012-2-16S-22		404									562	14	
CAL-FA-FA2012-3-16S-38		993											
CAL-FA-HI2012-1-16S-14		850		1							125		3
CAL-FA-HI2012-2-16S-21		46	9	3	1	8	4	12	87	1	17	7	1
CAL-FA-HI2012-3-16S-36		586	24		1	1	115		11		43		3
CAL-JM-HI2012-1-16S-12		3	1					3	1		9		
CAL-JM-HI2012-2-16S-24	3	211	24	19	8	18	3	39	27	2	89	1	1
CAL-JM-HI2012-3-16S-36	1	106	4	11	6	2	1	30	15		71	6	
CAL-JM-JM2012-1-16S-15	1	247	1	6	3	115	5	22	34	5	148	5	10
