SampleID	Methylobacterium	Pseudomonas-4	Pseudomonas-3	Unclassified Microbacteriaceae	Paenibacillus	Pseudomonas-2	Unclassified Enterobacteriaceae	Sphingomonas	Pseudomonas-1	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium-2	Pantoea	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium-1	Pseudomonas-5
C42		4		1	8	15	126	1	24		731	8	9
C43		1			6	39	106	7	30		629	13	26
C44		2			4	47	41	4	192	1	192	41	19
C45				1	3	11	51	2	535	3	28	88	13
C46		16			14	6	120		42		502	4	133
C47		2				1	25	2	18	1	845	17	4
C48					1	108	235		5	1	514	5	16
C49		159			12	12	54	2	29		282	11	44
CI11		5			1	30	56	2	65	2	713	4	23
CI12		4		1	15	2	80	2	195	2	403	9	98
CI13		3			13	19	58		162	2	476	15	31
CI21		10			37	4	85	5	74		597	7	5
CI22					11	8	41	4	85	6	595	25	7
CI23		9			7	30	32	6	33	1	554	31	9
CI31		27			37	12	62	3	45	1	582	20	2
CI32		2			7	63	43		93		568	10	5
CI33		5			22	40	45	2	302		344	15	2
CI41		5		1	3	6	32	1	59		626	27	37
CI42		82			32	6	34	6	270	2	311	35	4
CI43		19			4	10	26	2	53		705	7	4
CN01		88			3	23	57		47		653	2	23
CN02		15			39	17	55	4	46		451	7	58
CN03		102			5	41	18		23		350	8	189
CS01		79			37	56	27		178		267	6	42
CS02		8			41	24	25	1	338		369	23	53
CS03		24			14	6	41		74		575	23	70
IN01		94		2		13	10	1	398		333	6	4
IN02		27			10	4	49	8	158	8	399	25	42
IN03		639		2	8		24	4	88		78	6	
IS01		593			8	29	3	3	179		20	14	25
IS02		458		4		12	12	6	148	7	171	30	27
IS03	1	16		1	4	16	17	5	80		466	52	
X01					10	46	33		29		617	10	18
X02		34			6	59	18	2	24		423	6	308
X03		16			5	15	67		35		419	6	10
X04		40			65		35		95		521	45	8
X05		28			26	44	68		248		423	14	11
X06		21			21	19	34	3	60		578	8	62
X07		26			11	8	20				688	2	15
X08		59			21	11	131	2	55		469	20	59
X09		187		2	17		30	3	153		375	20	36
X10		6			3		28		154		633	7	42
X11		23			25	7	99		115		483	17	64
X12		12			37	72	116	1	48		497	6	27
X12-S86		9			8	25	52	2	153		462	80	9
X13		3			1	22	51		33	2	719	6	1
X13-S3		16			30	14	44	1	279		408	14	37
X14		46			119	19	26	1	39		412	25	35
X14-S15					4	156	45	6	40		500	13	
X15		4			10	6	80	1	75	1	496	21	20
X15-S27		22			50	31	74		78		344	13	72
X16		13			44	29	135	1	65	3	295	71	19
X16-S39		9			7	81	70		52		625	12	7
X17							47	2	53		827	4	
X17-S51		10			10	61	28		38		642	14	9
X18					6	64	156	1	40	1	383	6	71
X18-S63		123			9	7	37	1	119		558	2	12
X19					95		1	1	260		576		
X22		8			4	15	78	4	165	5	415	49	4
X23		3		1	34	3	60	3	58	3	293	47	37
X24					14	14	54	1	46		433	7	8
X25		5			18		176	11	130	2	363	25	
X26		8			13		34	3	98	3	453	24	172
X27		18			9	46	31	10	209	1	442	6	5
X28		12		1	17	33	228	1	109		219	6	1
X29				1	8	1	21	2	145	1	642	1	3
XI11		5		1	4	1	67	1	40		732	12	2
XI12		23			8	35	106	2	124	2	449	16	6
XI13		9		1	4	15	134	1	55		643	8	28
XI21		2			7	2	75	1	48		680	12	6
XI22		8			4	4	77	1	246	3	428	9	2
XI23		4			5	4	92	9	163	1	462	27	1
XN01		12				27	18		111		701	6	5
XN02		60			1	35	33	2	170		464	15	11
XN03		97			18	53	19	3	74		468	12	25
XN10		16			2	26	10		33		718	10	12
XN11		24				58	32		46		674	6	25
XN12		51				154	3	2	39		465	4	40
XS01		120			11	19	19	3	83		519	10	50
XS02		23			6	3	8	1	37		668	9	12
XS03		78			25	41	27	2	369		162	27	38
XS10		40			20	45	39		53		558	8	35
XS11		44			9	22	13		143		611	3	23
XS12		94			38	58	27		189		254	3	40
16S-AF-2017-Astrid-1	2			64	3	189	3	222	59	4	9	5	10
16S-AF-2017-Astrid-2	3			85		4		265	36	5	3	5	3
16S-AF-2017-Astrid-3	2			96	2	4	4	228	49	4	10	6	5
16S-AF-2017-Astrid-4	2			73	1	4		431	38	3	4	3	2
16S-AF-2017-Astrid-5	4			99	2	6		268	70	7	15	3	5
16S-AF-2017-Aviso-1				40		263	1	78	60	4	4	2	5
16S-AF-2017-Aviso-2				28		413	2	69	92	2	2	5	7
16S-AF-2017-Aviso-3				59		306	1	116	83	2	3	4	4
16S-AF-2017-Aviso-4	3			50		85	1	142	56	2	6	7	4
16S-AF-2017-Aviso-5				21		83		44	619	2		2	
16S-AF-2017-Boston-1	1			59		6	2	196	69	10	12	12	16
16S-AF-2017-Boston-2	3			47	1	8		172	40	4	2	10	313
16S-AF-2017-Boston-4	1			48	2	31		183	64	8	1	12	72
16S-AF-2017-Boston-5				28		5		100	26		2	7	23
16S-AF-2017-Colvert-1	1			77		136		238	42	5	5	8	5
16S-AF-2017-Colvert-2	3			89				268	53	7	12	7	3
16S-AF-2017-Colvert-3	7			89		2		223	45	3	9	9	4
16S-AF-2017-Colvert-4	3			96		50		208	58	7	2	7	3
16S-AF-2017-Colvert-5	2			103		1	2	237	79	4	5	10	1
16S-AF-2017-Expert-1	1			52	1		1	215	22	5	12	6	1
16S-AF-2017-Expert-2	2			20		77	316	60	17	1	15	7	9
16S-AF-2017-Expert-3				23		3	8	76	7	6	3	1	2
16S-AF-2017-Expert-4	1			48	1	12	79	184	42	3	7	3	8
16S-AF-2017-Expert-5	1			17	1	13	4	65	512	2	55	45	1
16S-AF-2017-Major-1	4			104		7	1	386	57	5	14	15	4
16S-AF-2017-Major-2	2			78	1	8		257	44	1	7	6	5
16S-AF-2017-Major-3	1			74		304		237	39	3	12	8	16
16S-AF-2017-Major-4	4			46	2	1	30	101	14	16	140	31	4
16S-AF-2017-Major-5	1			91		9	2	326	85	3	8	15	5
16S-AF-2017-Mohican-1	5			69	1		1	186	39	3	3	14	3
16S-AF-2017-Mohican-2	6			100			1	194	61	7	12	11	2
16S-AF-2017-Mohican-3	2			105	2	2		221	68	3	14	18	2
16S-AF-2017-Mohican-4	2			24	1			45	9	4	1	7	730
16S-AF-2017-Mohican-5	3			91			2	168	43	7	8	14	3
16S-AF-2017-Tenor-1				26	1	5	1	84	16	1	3	2	611
16S-AF-2017-Tenor-2	3			75		14	2	203	56	1	1	7	147
16S-AF-2017-Tenor-3				15	3	16		55	321	2	4	2	2
16S-AF-2017-Tenor-4				21		3		78	31	2	1	2	683
16S-AF-2017-Tenor-5	2			55		2		595	29	2	11	3	5
16S-AF-2017-Zorro-1	1			25		5		37	52	1	4	2	
16S-AF-2017-Zorro-2				9		7		14	3		837	1	
16S-AF-2017-Zorro-3	2			34	1	25	2	63	96		38	1	
16S-AF-2017-Zorro-4	2			94		66	1	156	36		9	5	
16S-AF-2017-Zorro-5				8		37		10	2		2		
SRR5527438													
SRR5527439													
SRR5527442													
SRR5527443													
SRR5527444													
SRR5527445													
SRR5527448													
SRR5527450													
SRR5527451													
V3C1-16S			2		17		64		4		744		
V3C2-16S							31		5		795		
V3C3-16S						80	1				766		12
V3G1-16S		4	30				1	5	7		4	60	2
V3G2-16S		6	7				2	4	129		435	8	
V3G3-16S		14	14	21		26	18	43	34		40	21	
V3Sa1-16S		44	47		1	4	79		74		444		36
V3Sa2-16S									39		875		
V3Sa3-16S		1			1	8	59		634		133		3
V3Sb1-16S			10		1		77		94		306		
V3Sb2-16S			29			10	47		24		720		3
V3Sb3-16S			1				118		61		701		
V3Sc1-16S		2	2				191		15		734		
V3Sc2-16S			3			25	34		7		779		10
V3Sc3-16S			12						420		307		
V3Sd1-16S			1			2	3		63		790		
V3Sd2-16S						2	66		320		453		
V3Sd3-16S		463	36		3	5			64		162		
V3Se2-16S			116				42		290		200		
ERR2861991													
ERR2861992													
ERR2861993													
ERR2861994													
ERR2861995													
ERR2861996					1								
ERR2861997													
ERR2861998													
ERR2861999													
ERR2862000													
ERR2862001													
ERR2862002													
ERR2862003													
ERR2862004													
ERR2862005													
ERR2862006													
ERR2862007													
ERR2862008													
ERR2862009													
ERR2862010													
ERR2862011													
ERR2862012													
ERR2862013													
ERR2862014													
ERR2862015													
ERR2862016													
ERR2862017													
ERR2862018													
ERR2862019													
ERR2862020													
ERR2862021													
ERR2862022													
U1	1			153				450		91		29	
U10	4			145				544	2	18	2	39	
U11				103		2		618	8			11	
U12	4			71				479	1	42	1	9	
U13	4			21				69		31		121	
U14	5			87				427	2	76	3	36	
U15	15			38				130		58		81	
U17	4		1	156		1		557	3	56	5		
U18	12		1	113	2			557	3	27	4		
U19	8			69				436		84		81	
U2	25			39				311		55	1	79	
U21	2			207		1		534	2	25	5		
U22	10			27				215	5	59		87	
U23	7			40				331	2	87	2	48	
U25				43	4	4		631	10	43	10	48	
U26				200		3		323		8			
U27				151	1			408	3	110	1	43	
U3	14			35				107	3	30	2	70	
U4	4			41				398		83	1	30	
U5				170		2		621		25	4	9	
U6	32			25				110		55		75	
U7	3			38				175		85		109	
U8	22			20				106		25		70	
U9	3			82	2			416		51	2	36	
ERR3224023													
ERR3224024													
ERR3224025													
ERR3224026													
ERR3224027													
ERR3224028													
ERR3224029													
ERR3224030													
ERR3224031													
ERR3224033													
ERR3224034													
ERR3224035													
ERR3224036													
ERR3224037													
ERR3224038													
ERR3224039					1								
ERR3224040					2								
ERR3224041													
ERR3224042					2								
SRR8879301	15											98	
SRR8879302	13											69	
SRR8879306													
SRR8879308	30											95	
SRR8879309	33											131	
SRR8879310												21	
SRR8879311	49											81	108
SRR8879312	9											68	97
SRR8879313	13											39	241
SRR8879314	13											84	106
SRR8879315	10						14					77	139
SRR8879316	34											88	263
SRR8879317	36											258	135
SRR8879318	37											92	140
SRR8879319	7											58	111
SRR8879320	9											245	171
SRR8879321	65											117	185
SRR8879322	36											144	296
SRR8879323	19											37	164
SRR8879324	33						2					67	219
SRR8879325	15											106	87
SRR8879326	12											100	231
SRR8879327	15											49	334
SRR8879328	6											155	131
SRR8879329	29											82	155
SRR8879330	80											112	233
SRR8879332						2	1					157	490
SRR8879333	7											29	
SRR8879334	18					2							531
SRR8879335	33											175	167
SRR8879336	21											66	535
SRR8879337	11					1						22	688
SRR8879338	39					1						51	567
SRR8879339	15					3						46	649
SRR8879340	16											13	447
SRR8879341	5					1							662
SRR8879342												126	
SRR8879343	58											82	
SRR8879344	8											49	
SRR8879347												48	
SRR8879348												247	
SRR8879352	12											101	
SRR8879360						2						10	380
SRR8879361	20											14	538
SRR8879362	9					4						9	675
SRR8879363	14					2						26	522
SRR8879364	1											4	458
SRR8879365	9											30	169
SRR8879366	27						15					72	237
SRR8879367	13											14	252
SRR8879368	39											11	126
SRR8879369	2											70	232
SRR8879370	9											148	
SRR8879371	43											131	
SRR8879373	19												
SRR8879374	33											97	
SRR8879375	42											139	
SRR8879377													
SRR8879379												42	
SRR8879394	10						1					155	254
SRR8879395	4					1						16	303
SRR8879396	5											49	167
SRR8879397	2											80	141
SRR8879403	47											187	
SRR8879407	25											275	
SRR12914318											931		
SRR12914323				41					2		4		
SRR10450124									1				
SRR10450126									1				
SRR10450128		5											
SRR10450130													
SRR10450133		7			15	46	89	13	24		160		22
SRR10450135												1	
SRR10450136							5	1				2	
SRR10450139						2			22		11	14	
SRR10450141													
SRR10450143							1					1	
SRR10450144		7		2	31	28	56	21	25	4	127		13
SRR10450146													
SRR10450149		33		6	2	34	64	20	39		184	15	21
SRR10450151		17			1	40	61	22	53		136	10	16
SRR10450153		35				88	50	15	28		74	8	29
SRR10450155		6			28	20	62	16	54		114	4	7
SRR10450157		18			1	71	37	18	42		166	10	23
SRR10450159		21			1	69	43	15	45		161	12	26
SRR10450161		36				88	42	6	38		59	9	18
SRR10450163		21			4	66	34	8	77		66	7	34
SRR10450165		12			1	90	36	14	66		57	10	41
SRR10450167		29			1	99	60	17	30		154	9	29
SRR10450170		21		1	12	10	21	4	22		326	3	
SRR10450173		8		1	8	12	8	7	25		257	4	6
SRR10450175		11		3	5	11	9	8	33		287	6	3
SRR10450177		8		4	55	79	70	17	35		121	6	9
SRR10450179		12		6	20	15	44	9	79		228	8	
SRR10450180		14		3	18	28	29	26	54		235	10	4
SRR10450182		8		1	13	24	37	23	61		224	21	5
SRR10450184		12		5	25	26	54	8	53	5	135	5	7
SRR10450186		11		6	4	16	56	18	31		265	5	
SRR10450187		19		4	8	16	52	22	26		235	11	
SRR10450188		7		2	14	79	68	15	26		135		13
SRR10450189		9			17	131	80	5	29		72	16	48
SRR10450190		18			1	16	18		32		352		
SRR10450191		17			2	23	29	3	19		371		
SRR10450193		12			2	18	31	9	54		364		
SRR10450194		14		5	2	22	19	5	79	7	328		
SRR10450196		4		5	3	10	21	2	21		257		
SRR10450198		5			6	7	33	2	39		246	5	
SRR10450200		20			4	7	43	3	30		202	7	
SRR10450202		13			4	9	28	4	41		243		
SRR10450203		12		1	1	8	18		35		320		
SRR10450205		15			4	8	7	2	41		302		
SRR10450206		8			27	59	69	9	25		51	8	21
SRR10450207		14			9	58	66	10	17	3	64	11	36
SRR10450208		15			7	49	47	7	5		68	20	27
SRR10450209		5			33	106	75	20	17		60	5	30
SRR10450210		5		1	44	36	55	19	30		98	6	10
SRR10450211		5		6	24	107	70	15	17		61	11	45
SRR10450213		8			15	108	77	6	32		89	11	40
SRR10450217		8			13	99	74	6	33		69	12	45
SRR10450221						94					90		
SRR10450222		100				3							
SRR10450225		6		6	3	77	210	9	13		172	10	14
SRR10450227					3	93	222	3	8		157	8	16
SRR10450228		23			7	16	34	10	32		262	14	
SRR10450230	1			3	7	19	5				29		
SRR10450232		24				1					3		
SRR10450233		26				5	2				2		
SRR10450237						3			1		5	10	
SRR10450240		6										12	
SRR10450242								4		2			
SRR10450245													
SRR10450246													
SRR10450248		5					2		7		7	3	
SRR10450251												10	
SRR10450253								3					
SRR10450255											3		
SRR10450258		2						5	19		11		
SRR10450259								5	16	1	18		
SRR10450261		2		7	9	121	55	5	29		57	17	36
SRR10450263								7	4		6		
SRR10450265					1		11	12	14		28		
SRR10450267					2		4	6	17		11		
SRR10450269								6	2		9	3	
SRR10450271							5	2	6		1	2	
SRR10450274								2	6	4	3		
SRR10450275									5		3	5	
SRR10450278													
SRR10450281													
SRR10450284		5		3	32	36	60	25	31		82	4	9
SRR10331030													
SRR10331032													
SRR10331033													
SRR10331034													
SRR10331035													
SRR10331036													
SRR10331037													
SRR10331038													
SRR10331039													
SRR11639981									981				
SRR11639982		3	24						955				
SRR11639983			7						291				
SRR11639984		2	1					1	681				
SRR11639985			10						8				
SRR11639986			4					2	264				
SRR11639987			23						945				
SRR11639988			17						933				
SRR11639990		19	5					1	42				
SRR11639991		12	7					1	973				
SRR11639992			9						651				
SRR11639993			22						10				
SRR11639994									999				
SRR11639995									991				
SRR11639996			2						60				
SRR11639997			6						993				
SRR11639998									991				
SRR11639999			21						100				
SRR11640001			3						988				
SRR11640002									781				
SRR11640004			4						776				
SRR11640005			2						280				
SRR11640006									1000				
SRR11640034			23						823				
SRR11640036			9						49				
SRR11640039			11						63				
SRR11640042									10				
SRR11640088									53				
SRR11640089			4						673				
SRR11640114			6					1	82				
SRR11919960													
SRR11919961													
SRR11919962													
SRR11919963													
SRR11919964													
SRR11919965													
SRR11919966													
SRR11919967													
SRR11919968													
SRR11919975													
SRR11919986													
SRR11919993													
SRR11919994													
SRR11919995													
SRR11919996													
SRR11919997													
SRR11919998													
SRR11919999													
SRR11920000													
SRR11920001													
SRR11920002													
SRR11920003													
SRR11920004													
SRR11920005													
0F1SS					4				32				10
0F2SS									25				
0F3SS								1	42		1		
0R1SS									44		2		
0R2SS				3					61		7		
0R3SS				4	1			2	25		6		
1FC02MS									26				
1FC04MS									20		1		
1FC05FS				39	81	6		13	93	5	360		
1FC06MS				2				2	25		3		
1FC07FS				25	81	17		12	173		409		
1FC08MS				6					31		6		
1FC10MS									19				
1FD02MS				2				6	24		11		
1FD03FS				51	69	7		32	90		383		
1FD04MS					1				25		2		
1FD06MS									19		3		
1FD07FS				93	31			39	91		382		11
1FD08MS									21		1		
1FD10MS									25		2		7
1FN02MS				1					15		5		
1FN04MS									21				6
1FN06MS									31				
1FN08MS									15				
1FN10MS				1				1	20		3		11
1RC01FS		6		74	56	6	8	77	77	9	268		
1RC02MS					1				15				
1RC03FS		5		112	20	9	7	91	53	4	267	1	2
1RC04MS									28				
1RC05FS		3		57	61	19	3	54	74	6	302		
1RC06MS					1				20				
1RC07FS				101	43	12	4	51	59	4	307		
1RC08MS				1					29		1		
1RC10MS									29				
1RD02MS									47				9
1RD03FS				11	112	9		14	123		359		
1RD04MS									42				2
1RD05FS				17	111	8		12	144		329		
1RD06MS									38				7
1RD07FS				13	113	11		5	128		391		
1RD08MS									35				6
1RD10MS									40				5
1RN01FS				2	167	8		3	127		314		
1RN02MS									40				
1RN03FS				42	100	2		26	103	6	285		
1RN04MS									26				
1RN05FS				26	109	11		18	172		376		
1RN06MS									31				
1RN07FS				61	61	11		44	113	4	354		
1RN08MS									36				
1RN09FS				11	118	6		4	123		350		
1RN10MS					2				29		1		
2FC01MS				3	176	10			152		261		
2FC02MS					146	12			133		268		
2FC03MS				1	155	14		4	134		309		
2FC04MS					138	14			128		294	1	
2FC05MS					144	8			130		278		
2FD01MS					152			4	133		284		8
2FD02MS					130	7			125		298		
2FD03MS	1			1	158	11		2	113		260		
2FD04MS					166	10			112		257		
2FD05MS				1	152	14		1	129		263		
2FN01MS					139	7			104		295		
2FN02MS				3	132	7			103		216		
2FN03MS					121	4			77		222		
2FN04MS					170	6			129		266		
2FN05MS				2	151	4			123		249		
2RC01MS					149	8			124		281		
2RC02MS					158	9			146		287		
2RC03MS					151	13			140		257		
2RC04MS					107	19		1	115		271		
2RC05MS					181	7			122	3	268		
2RD01MS					129	20			135		271		
2RD02MS					157	4			131		285		
2RD03MS					127	11		1	128		281		
2RD04MS					168	9			115		270		
2RD05MS					158	14			120		244		
2RN01MS					120	17			112		278		
2RN02MS				2	169	11			121		248		
2RN03MS					139	5			131		270		
2RN04MS					152	8		1	129		286		
2RN05MS	1				133	10		1	86		245		
