SV	Group	Taxonomy	Confidence	Gene	Kingdom	Phylum	Class	Order	Family	Genus	Species	Taxon	Core_Specific_Plant
0854c73ee176a1841ee48654d31d3a75	1	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Leucosporidiaceae;g__Leucosporidium	0.996454704	ITS1	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium			
086d0e7b8bf6c517a08841c3f9f5c414	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes	0.737320241	ITS1	Fungi	Basidiomycota	Agaricomycetes						
087654b34f5ffd535b92521081c412b7	1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma	0.977358629	ITS1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma			
088a105a8ba7128ec0dd771dcd5049dc	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__unidentified;s__unidentified	0.996455202	ITS1	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	unidentified	unidentified		
08a30e5f1e07e0aa28455a7d1c2998f5	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae	0.999906532	ITS1	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae				
08e9c6049a0f63afdee0a14081d7a041	1	k__Fungi;p__Basidiomycota;c__Tremellomycetes	0.979539538	ITS1	Fungi	Basidiomycota	Tremellomycetes						
08f332a59b93745ff61b5b18046ab3cd	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__Coprinopsis_friesii	0.716268558	ITS1	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis_friesii		
091d20838682b48d31bd9291aa254049	1	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Sporobolomyces_roseus	0.99854792	ITS1	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_roseus		
093c5d6c6a327296b452ae054fa76db3	1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Cystofilobasidiaceae;g__Cystofilobasidium;s__Cystofilobasidium_macerans	0.999999505	ITS1	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium_macerans		
09517443c3d976c15e3ca535ee21b5c4	1	k__Fungi;p__Basidiomycota;c__Atractiellomycetes;o__Atractiellales;f__Hoehnelomycetaceae;g__Atractiella;s__Atractiella_solani	0.99999991	ITS1	Fungi	Basidiomycota	Atractiellomycetes	Atractiellales	Hoehnelomycetaceae	Atractiella	Atractiella_solani		
097c6e042a1edc8f79054bc5a7e47f89	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	0.999879622	ITS1	Fungi	Basidiomycota	Agaricomycetes	Sebacinales					
0a04e61f9f1f3ab000932663a5e99b8b	1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia_zsoltii_var._yunnanensis	0.998051316	ITS1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia_zsoltii_var._yunnanensis		
0a3949d6c3eaaad24f1cba68595f25fc	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	0.999468276	ITS1	Fungi	Basidiomycota	Agaricomycetes	Sebacinales					
0a4d94612d5cb203d937328151a2f62f	1	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora	0.9999982	ITS1	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Symmetrosporaceae	Symmetrospora			
0a5ea6dd16bfdf6ccadd9fdb009244d4	1	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora;s__Symmetrospora_foliicola	0.987412596	ITS1	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Symmetrosporaceae	Symmetrospora	Symmetrospora_foliicola		
0a63ea18e1b000e947dd5e05ab04fc33	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellales_fam_Incertae_sedis;g__Sistotrema	0.749486473	ITS1	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Sistotrema			
0a8115bb1db2ef36377909c1c0380f65	1	k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia;s__unidentified	0.999993174	ITS1	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	unidentified		
0a8fb1806cf4bc481a10b0f6741ea567	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae	0.999072402	ITS1	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae				
0a9709251b130d59829628365b253c2e	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__unidentified;g__unidentified;s__unidentified	0.963757981	ITS1	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	unidentified	unidentified	unidentified		
0ab75ec5622a7a1eb168340e6e487677	1	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Sporobolomyces_roseus	0.998959822	ITS1	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_roseus		
0ac16c9d8f3bd1894112473527d74edd	1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae	0.999947208	ITS1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_victoriae		
0adf4fbd5e65c13655a455ef46be0f36	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes	0.711895942	ITS1	Fungi	Basidiomycota	Agaricomycetes						
0b1ba2c502648fa8a2ff51d6ec85940f	1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_tephrensis	0.999870669	ITS1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_tephrensis		
0b1e18b30bf6da5fc026792ec8606b38	1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_oeirense	0.996816248	ITS1	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium_oeirense		
0b38d21c5b97bfdba8a6daee9d1a4ed4	1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium	0.999999767	ITS1	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium			
0b6dd7ae2d86d4635635366854a613d3	1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariaceae;g__Auricularia;s__Auricularia_auricula-judae	0.963006115	ITS1	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	Auricularia_auricula-judae		
0b96cc8a02eb5a020e48e19f1d2c2a0b	1	k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia;s__Wallemia_tropicalis	0.999219007	ITS1	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia_tropicalis		
