SampleID	Erwinia persicina	Pseudomonas fluorescens-1	Pseudomonas fluorescens-3	Pseudomonas viridiflava-2	Pantoea agglomerans-2	Cutibacterium acnes	Pseudomonas antarctica	Pseudomonas fluorescens-2	Stenotrophomonas sp	Pseudomonas poae	Pantoea agglomerans-1	Unclassified Clostridiales	Pantoea agglomerans-3	Pseudomonas viridiflava-1	Paenibacillus sp-1	Rhizobium sp	Pseudomonas viridiflava-3	Paenibacillus sp-2
gyrB-Astrid-B1-4	32			12					5	2	151		23	3	6		40	
gyrB-Astrid-B1-5	84			5	5				38		48	5	92	14	9	8	41	
gyrB-Astrid-B2-1	45			31	6				11		369		72	69	26	2	17	
gyrB-Astrid-B2-2	11	5		7	27				1		479		167	67	3		47	
gyrB-Astrid-B2-3	146			55	2	1			1		93	2	33	10	1		3	
gyrB-Astrid-B2-4	66			3	64						492		18	2	5	2	4	
gyrB-Astrid-B2-5	22	13		19	28				7		181		107	305	3		22	
gyrB-Aviso-AF-1				9		1					10				8	20		
gyrB-Aviso-AF-2				104							9				1		91	
gyrB-Aviso-AF-3	3										35			18		15		
gyrB-Aviso-AF-4				508	6											7		
gyrB-Aviso-AF-5											8							
gyrB-Aviso-B1-1	215	7		15	9				6		178		27	41			47	
gyrB-Aviso-B1-2	12			11							798	1	7				64	
gyrB-Aviso-B1-3	61			63					4		336		19	9	6	3	6	
gyrB-Aviso-B1-4	33			19					21		463	1	4	62	2	4	2	
gyrB-Aviso-B1-5	15			4					35		721			5				
gyrB-Aviso-B2-1	17	60		3					2		220	1			8			
gyrB-Aviso-B2-2	67	2		67							212		79	28	2	2	54	
gyrB-Aviso-B2-3	16	7		37	5				4		141		32	24	1		11	
gyrB-Aviso-B2-4	25			50					4		138		413	181			11	
gyrB-Aviso-B2-5	25	14		64					6		204		51	20	4		86	
gyrB-Boston-AF-1											37			146		18		
gyrB-Boston-AF-2				49									6		2			
gyrB-Boston-AF-3				56		13					15							
gyrB-Boston-AF-4				7							7						19	
gyrB-Boston-AF-5				5		2					3							
gyrB-Boston-B1-1	16	6		46	404				1		236		15	18	5		83	
gyrB-Boston-B1-2	55			32	31				1		116		35	154			3	
gyrB-Boston-B1-3	145			60	36				9		275	1	139	8	5	2		2
gyrB-Boston-B1-4	7	160		222							88	2	38		5			
gyrB-Boston-B1-5	55	3		33							93	3	22	95			141	
gyrB-Boston-B2-1	52			41							461			118		1	23	4
gyrB-Boston-B2-2	43	2		27					1		335	3		39	6		175	
gyrB-Boston-B2-3	15	16		19	53				8		205		24	434	3	3	11	
gyrB-Boston-B2-4	186	77		53	6				4		310		18		1		14	
gyrB-Boston-B2-5	28			67	89				2		405			50	1		9	
gyrB-Colvert-AF-1						3					13			45	3			
gyrB-Colvert-AF-3																		
gyrB-Colvert-AF-4						5												
gyrB-Colvert-AF-5						7												
gyrB-Colvert-B1-1	20	1		32	137				8		246	1	41	61	6		20	
gyrB-Colvert-B1-2	48	2		12					2		263	1	241	1	4	1	2	
gyrB-Colvert-B1-3	12			37	15				11		597	2	11	29	3			
gyrB-Colvert-B1-4	33	47		11					1		599		91	6		2		
gyrB-Colvert-B1-5	48	42		171					9		271	1	156				8	
gyrB-Colvert-B2-1	40	13		86	16				15		187	1	15	7			25	
gyrB-Colvert-B2-2	16			34	12				20		606	1	76	4	2	1	2	
gyrB-Colvert-B2-3	43	53		40	39				104		59		38	35	1			
gyrB-Colvert-B2-4	81	4		14	47				7		316		13	44			78	
gyrB-Colvert-B2-5	29	2		19	33			1	3		199		9	130	2	1	35	
gyrB-Express-AF-1																		
gyrB-Express-AF-2						14												
gyrB-Express-AF-3																		
gyrB-Express-AF-4						4												
gyrB-Express-B1-1	21			3	48				2	4	593		23	11	2		22	
gyrB-Express-B1-2	48	4		4					3		461		263				12	4
gyrB-Express-B1-3	17	5		9		1			19		463			40	53		36	
gyrB-Express-B1-4	15			39	46				3		139	1	209	28	4			
gyrB-Express-B1-5	46	16		33					7		205		134	155	5	3	10	
gyrB-Express-B2-1	18	90		177	16				3		251		46	38	8		3	
gyrB-Express-B2-2	26			7					3		453		77	14		3	8	
gyrB-Express-B2-3	3			41					2		562		26	9			5	
gyrB-Express-B2-4	4			51							575		12	7				
gyrB-Express-B2-5	32			19					14		303	2	68	41		2	9	
gyrB-Major-B1-1	32	117		141	26						181	1	101	30	5		9	
gyrB-Major-B1-2	41	7		37					7		219		191	115	7		14	
gyrB-Major-B1-3	10			47	42				2		139		233	24	2			
gyrB-Major-B1-4	18	3		6					16		460			32	32		38	
gyrB-Major-B1-5	36			8							495	1	283				5	
gyrB-Major-B2-1	17				33				4		738		10	2			27	
gyrB-Major-B2-2	23			14	38			1	3		218			169	5		31	
gyrB-Major-B2-3	79	2		28	65				8		231		14	26		1	91	
gyrB-Major-B2-4	60	49		49	37				91		59	1	52	48	1	1		
gyrB-Major-B2-5	14			36	6				18		622		100	3			4	
gyrB-Mohican-AF-3						30												
gyrB-Mohican-AF-4						26												
gyrB-Mohican-B1-1	31	13		96	14				15		139	1	8	5	1	2	11	
gyrB-Mohican-B1-3	19	70							1		617		82	3				
gyrB-Mohican-B1-4	22	1		75	27				25		469		14	23	1			
gyrB-Mohican-B1-5	44	1		17							149	1	293	2	11		2	
gyrB-Mohican-B2-1	23	7		24	159				14		249		57	30	4		25	
gyrB-Mohican-B2-2	26			50	191				3		317			24	2		21	
gyrB-Mohican-B2-3	111	59		50	5				9		340		23		3		15	
gyrB-Mohican-B2-4	20	15		24	50				2		345	3	12	308		1	15	
gyrB-Tenor-AF-2						22					45							
gyrB-Tenor-AF-3						7					11							
gyrB-Tenor-AF-4						6												
gyrB-Tenor-AF-5						1												
gyrB-Tenor-B1-1	43			36							421	1		95	2	1	19	4
gyrB-Tenor-B1-2	50			40							113	1	19	49			228	
gyrB-Tenor-B1-3	12	168		188							141	1	33	9	3			
gyrB-Tenor-B1-4	113	5		64	37				9		314		100	9	3		3	8
gyrB-Tenor-B1-5	128			50	22				1		146		30	61	4		5	
gyrB-Tenor-B2-1	23	8		43	448				3		197		9	5	4		91	
gyrB-Tenor-B2-2	17	13		56					2		96		30	34	5	2	113	
gyrB-Tenor-B2-3	17			73					3		104		376	238			4	
gyrB-Tenor-B2-4	15	4		35	6				2		109		28	11	3		14	
gyrB-Tenor-B2-5	40	2		62							138		82	26	2	2	73	
gyrB-Zorro-AF-3						12												
gyrB-Zorro-B1-1	18	40		7							185	2			6			
gyrB-Zorro-B1-2	16			6					31		713	2		17	2			
gyrB-Zorro-B1-3	28			12					13		434			58	4	4	5	
gyrB-Zorro-B1-4	58	1		46					3		273	5	15	5	7	2	7	
gyrB-Zorro-B1-5	25			29							721		23				39	
gyrB-Zorro-B2-1	150	8		28	10				2		194		41	37			46	
gyrB-Zorro-B2-2	14	12		23	16				3		312	1	64	182	3		32	
gyrB-Zorro-B2-3	28	2		6	48						554	1	11					
gyrB-Zorro-B2-4	97			79							112	2	52	29	5	7		
gyrB-Zorro-B2-5	14	7		6	66				2		338		105	141	2	1	106	
gyrB-AF-2017-Astrid-1	32	2			2	1					5		12	21			3	
gyrB-AF-2017-Astrid-2				2	1	2					14		9	19		5	10	
gyrB-AF-2017-Astrid-3	12			1	2	5			1		10		32	15		3		
gyrB-AF-2017-Astrid-4						5					13		26	10	2	5	7	
gyrB-AF-2017-Astrid-5	1			1	53	3					9		10	1		1	4	
gyrB-AF-2017-Aviso-1	4	1			3						6		7	2		1		
gyrB-AF-2017-Aviso-2	2				3						6		3	1			5	
gyrB-AF-2017-Aviso-3	6	1		2	2	4							8	71				
gyrB-AF-2017-Aviso-4	8				4						11		2				2	
gyrB-AF-2017-Aviso-5	1	1				1												
gyrB-AF-2017-Boston-1						1					36			12		9	2	
gyrB-AF-2017-Boston-2											5		2	1		2	1	
gyrB-AF-2017-Boston-3	8				4						12		1	7		1	1	
gyrB-AF-2017-Boston-4	5			1							14			3		5	3	
gyrB-AF-2017-Boston-5	1										10			2		1		
gyrB-AF-2017-Colvert-1				1	5						12					1	5	
gyrB-AF-2017-Colvert-2	3			7	4	11					49		3	7		12		
gyrB-AF-2017-Colvert-3				2							13		2	12		3		
gyrB-AF-2017-Colvert-4	1			8		1					9		1	6		9		
gyrB-AF-2017-Colvert-5	2			5							10		4	8		3		
gyrB-AF-2017-Expert-1	22			1		2					40			10		2		
gyrB-AF-2017-Expert-2	645			1		1					5		24	3				
gyrB-AF-2017-Expert-3	25			3							8		4	4				
gyrB-AF-2017-Expert-4	232			2	3						8			11		1	3	
gyrB-AF-2017-Expert-5	5	8		2	40						41		35	19			30	
gyrB-AF-2017-Major-1	2			9	1						52		5	2		2		
gyrB-AF-2017-Major-2	5			4	3						40			5		2		
gyrB-AF-2017-Major-3	1			5	5						38		5	7		2	1	
gyrB-AF-2017-Major-4				10	3						63		8	5			5	
gyrB-AF-2017-Major-5				12	2						34		3	4		1	2	
gyrB-AF-2017-Mohican-1		1		1							2					2		
gyrB-AF-2017-Mohican-2				5		4					34		4	4		3	3	
gyrB-AF-2017-Mohican-3	2	1		14							12			11		4	2	
gyrB-AF-2017-Mohican-4	1			2							2		2	2				
gyrB-AF-2017-Mohican-5	3			4					1		8		3			1		
gyrB-AF-2017-Tenor-1				4	3						7				1	3		
gyrB-AF-2017-Tenor-2	3				4						4		4	30		6		
gyrB-AF-2017-Tenor-3	1								2		15	1	2	5		1		
gyrB-AF-2017-Tenor-4	1	3		3										1			2	
gyrB-AF-2017-Tenor-5	9				1						5		17					
gyrB-AF-2017-Zorro-1	1			5	1	1					26		3	173			3	
gyrB-AF-2017-Zorro-2											940			1			7	
gyrB-AF-2017-Zorro-3						2					220			4			3	
gyrB-AF-2017-Zorro-4	3			1							39		6	10		5	3	
gyrB-AF-2017-Zorro-5		1				1					64			1				
gyrB-1Bristol-F11	2			2							10		7			9		
gyrB-2Bristol-G11						1			6		26		5			49		
gyrB-3Bristol-H11	1										30					25		
gyrB-B13T5-B12						12											55	
gyrB-B13T6P1-C07				744		10			1		2		5					
gyrB-B13T6P2-D07	18				28								1				818	
gyrB-B13T6P3-E07	12					10					8		25				134	
gyrB-B13T6P4-F07	43					1										1	5	
gyrB-B13T6P5-G07	8					44					35						65	
gyrB-B13T6P6-H07						1					3							
gyrB-B13T6P7-A08	2				4	2					72						60	
gyrB-B14T6P1-H09	15				25						64		14				52	
gyrB-B14T6P2-A10	10					1					18							
gyrB-B14T6P3-B10	51					14					2						7	
gyrB-B14T6P4-C10	5					131	7											
gyrB-B14T6P5-D10	1	3																
gyrB-B14T6P6-E10	3				2	4			5		2		9					
gyrB-B14T6P7-F10						37					104							
gyrB-B19T6P1-G10	25										192		116			18		
gyrB-B19T6P2-H10						7					32		100					
gyrB-B19T6P3-A11					51	13					13							
gyrB-B19T6P4-B11	846											1						
gyrB-B19T6P5-C11	52					37					2	1					5	
gyrB-B19T6P6-D11	47																	
gyrB-B19T6P7-E11	482				44						18					10		
gyrB-B1T6P1-A09																		
gyrB-B1T6P2-B09				29		54					16							
gyrB-B1T6P3-C09													945					
gyrB-B1T6P4-D09	2	1			835	1												
gyrB-B1T6P5-E09	79	1				4					25		6					
gyrB-B1T6P6-F09	78				63	5					50					7	33	
gyrB-B1T6P7-G09											56						17	
gyrB-B20T6P1-B08	2																	
gyrB-B20T6P2-C08						1							3					
gyrB-B20T6P3-D08						22					65							
gyrB-B20T6P4-E08						17					7					8		
gyrB-B20T6P5-F08	6					7				3		2				12	33	
gyrB-B20T6P6-G08											500							
gyrB-B20T6P7-H08											915							
gyrB-B5T5-A12						9												
gyrB-B5T6P1-D06	25					2					35							
gyrB-B5T6P2-E06	56				4	10					11						72	
gyrB-B5T6P3-F06	33					1					37					13	118	
gyrB-B5T6P4-G06	22					10					4						28	
gyrB-B5T6P5-H06													11					
gyrB-B5T6P6-A07	14					10					2		14				2	
gyrB-B5T6P7-B07	14										23		4			2		
B14-1	47			34	28	30		91	169		21							
B14-2	1	4						473	29		84							
B14-3		13	6			33		218	83		47			8	12			
B22-1			961								1							
B22-2	1		958					1			1							
B22-3			970															
B28-1			922					1			1							
B28-2			977			1					1							
B28-3			962															
B35-1			952								1							
B35-2			957															
B35-3			962								1							
B42-1			946															
B42-2			951															
B42-3		1	912		1						3		1					
R-39-1	5			1							405							
R-39-2	53			88	136						455	2	26					
R-39-3				127		2					38							
R18-1	3																	
R18-2	83		3	178				1			393				2			
R18-3	358		5	478		7					121							
R25-1											148							
R25-2			1					1			250							
R25-3				56							1							
R32-1	293			3				4	1		246							
R32-2	2										4		45					
R32-3											885							
R46-1	12										600	1						
R46-2	41			13							1		17					
R46-3		2									36		923					
R53-1	1			8							874		4					
R53-2	1		552	6				309	1		2		26					
R53-3	1			1	307	3			1		30	2			7	2		
R67-1	535		54	2				1	7		251			9				
R67-2	72	10	69	26					1		444	7			40			
R67-3	8		3	11	28						39		6		5			
AB1	6			14							530	2	15					
AB2				46	316						399		17		4	1		
AB3	1			242							417		47					
AB4				246	7						236	1	140					
AB5				63	2						265		655					
AB6				37	9			4			675			1				
AB7	74			468				1			173							
AB8	26			63	6						802		7					
ABAI1				510	12				12		328		8		1			
ABAI2	1			294					1		43		21	6	38	12		
ABAI3				191							685					1		
ABAI4	1			856	33						81				2			
ABAI5				760							93							
ABAI6	10			85	11						445		14		1	3		
ABAI7	1			467	6				7		106		193	1		1		
ABAI8	57			55	3				1		147		282		1	3		
AI1				451							493							
AI2	1			396		2					369		12	1				
AI3	15			24							548	1	19		5			
AI4				5							951							
AI5	1			351	56						179		21		1			
AI6				19	2						374	1				1		
AI7				8	30						48		858					
AI8	1			74	6						417	4	26		1	1		
CA1	5			202							364		140					
CA2	219			244							72		6			1	83	
CA3	3			145							815		4					
CA4	20	85		45					2		461							
CA5	4			8							940			4		2		
CA6	1			36					1		391		3	3				
CA7				6							28		2					
CA8	2			739					9		101		19	1				
IAB1	5			471	2						203		23			2		
IAB2	8	3		336	37						347		30					
IAB3	4			174	26						368		149	14	1	8		
IAB4	8			189	2				3		430		109					
IABAI1	3			46	5						432		11		4			
IABAI2	9			155	2				1		439		245	1				
IABAI3	27			150	5						441		211					
IABAI4	1			219	8						557		115		2	2		
IAI1	1	36		306	2						527		11					
IAI2	41			116	3				2		486		30	5				
IAI3	38			110	1						173	1	570	2		1		
IAI4	10	5		298	1						226		99			1		
ICA1	8			169	3				1		301		241	5		1		
ICA2	3			137	175						196		19					
ICA3	26			83	16						220		65	1		1		
ICA4				106							516		12			4		
gyrB-AP-NIC-D-1000					757							2					1	14
gyrB-AP-NIC-ND-1000					142			1			80		32	13			38	
gyrB-AP-PIG-D-1000								93		10	35	5						44
gyrB-AP-PIG-ND-966	1		4		31			46		3	51	1			12		65	18
gyrB-AP-VEL2-ND-1000			127			81		75		50		101						402
gyrB-AP-Veluwe-ND-1000	82				302	9		12			462							8
gyrB-AT-ARN-D-1000	1				97		6	175	11	16	370	29		29				142
gyrB-AT-ARN-ND-1000				11				166		3	4	39		11	13		95	322
gyrB-AT-BOU-D-1000			142			83		24		16		126						561
gyrB-AT-BOU-ND-1000								159			2	86						547
gyrB-AT-DOM-D-1000			18			23		46		62	14	80						721
gyrB-AT-DOM-ND-1000			81			59			48	8		96						533
gyrB-AT-LM-D-1000	7	52	29			32		266		48		113						415
gyrB-BI-JUI-D-1000			1		390						211		75				2	5
gyrB-BI-JUI-ND-977					234						485		47	1				
gyrB-BN-BOU5-D	92					67		371		41		107						310
gyrB-BN-BOU5-ND	278	80		4	8				2		117		7	40	2	7	10	2
gyrB-BV-JUI-D-1000					223	11		21		1	502	9	47	9				64
gyrB-BV-JUI-ND-1000			6		228	2		17			104	4	570	1				11
gyrB-CB-ARN-D-1000	68					70		111	16	39	3	53						526
gyrB-CH-ARN-D-1000	36		10	45				238	37	58		41						265
gyrB-EV-ARN-ND-1000		105						23		15		115		125				449
gyrB-EV-BOU-D-1000			10	12	106	15		87		5	125	96				10		424
gyrB-EV-BOU-ND-1000					4	18		51	118	9		83		127				468
gyrB-RS-C-D-1000	8			13	17				15		907			2			7	2
gyrB-RS-C-ND-1000	9			23	4			6			534		115					
gyrB-RS-PON-D-1000						17		106		29	639	10						113
gyrB-RS-PON-ND-1000		2						4			726	1				9		11
gyrB-SA-ANG-D-1000			40	24	305		4	131	16	65	75	60						224
gyrB-SA-ANG-ND-704					114						782			7			6	9
gyrB-SA-LM-ND-1000	70	8		21	1						175		40	74		1	270	
HJ12-S-2	71				16						91		19					
HJ12-S-4	31					5					12							
HJ12-S-5	15					6					11							
HJ14-S-5	574	26									140							
HJ18-S-1	5					2												
HJ18-S-2																		
HJ18-S-3											16							
HJ18-S-4											18							
HJ18-S-5	342										380		139					
HJ42-S-1	318	8							61		175		57					
HJ42-S-2	31								1		309		87					
HJ42-S-3	607			20							210							
HJ42-S-5	63										9		5					
R15-S-4	110																	
R15-S-5	13																	
R18-S-2					51								44					
R18-S-4													996					
R18-S-5	90																	
R21-S-1																		
R21-S-4							1				113		2					
R21-S-5						10							40					3
R24-S-1						1					6							
R24-S-2											83							
R24-S-3											29		33					
R24-S-4						26							20					
R24-S-5	861																	
R28-S-1	27		50	18	5	1		15	3		122		597	3				
R28-S-5	351																	
gyrB-01-a-A07						2					46							
gyrB-01-b-B07	7	8			66	1					69							
gyrB-02-a-C07						25					3							
gyrB-02-b-D07		1				53					75			11				
gyrB-03-a-E07																		
gyrB-03-b-F07											42							
gyrB-04-a-G07						9												
gyrB-04-b-H07		4				25												
gyrB-05-a-A08																		
gyrB-05-b-B08																		
gyrB-06-a-C08																		
gyrB-06-b-D08											2					1		
gyrB-07-a-E08											1							
gyrB-07-b-F08											1							
gyrB-08-a-G08																		
gyrB-08-b-H08																		
gyrB-09-a-A09																		
gyrB-09-b-B09																		
gyrB-10-a-C09					3	4												
gyrB-10-b-D09					1						1							
gyrB-11-a-E09						18					7							
gyrB-11-b-F09					1	53					7							
gyrB-12-a-G09		510				3					1							
gyrB-12-b-H09		577				1					1							
gyrB-13-a-A10		429			2	7												
gyrB-13-b-B10		528				20					2							
gyrB-14-a-C10						6					15		95					
gyrB-14-b-D10						2					4		272					
gyrB-15-a-E10		29				4							74					
gyrB-15-b-F10		44				9					2		290					
gyrB-16-a-G10		82				9							82					
gyrB-16-b-H10		66				22					8		241					
gyrB-17-a-A11						53												
gyrB-17-b-B11						374												
2014-A12	17			40	161						392		33	4				
2014-A13	32	1	1	23	129				5		204		77	12	6			
2014-A14	56		6	41	71				1		610	2	24		7	1		
2014-A15	34	1		105	33						565		212		19			3
2014-A16	30	10		130	80				1		499	1	86	2				
2014-A17	69			29	7			8	1		497	1	155	8	4	2	36	
2014-A18	34	4		2	39						814		39		1	1		
2014-A19	40		1	74	19						449		208		4		1	
2014-X12	84			80	98			22			292	2	186					
2014-X13	18	6		59	216			1			531		73		2		1	
2014-X14	11			46							560	7	49		56			
2014-X15	46			116	61				2		384	1	286		1			1
2014-X16	92			119	3			1	73		298	3	61	2	13			
2014-X17	20			96	3						319		530					
2014-X18	101			39	1				1		323		238		1	3		
2014-X19				232							606	6	78	3	60			
A01	41			150	21						443	1		1	11			
A02	27			48	4			1			697		76				2	
A03	29	1		95	82			78	2		480		67	10	7		8	1
A04	10	67		43	14			1			311	1	9	10	5			
A05	28	19		60	43						259		177	3	3			
A07	16	2		59	29				20		464		167	33	7		1	
A08	12	11		59	21			2	8		304		164	3				
A09	59			97	46				1		412		6			1		
A10	8			1	24			224			133	4	89	417	4			
A11	16	1		39	6			17	6		475		20		1			5
A12	16	4		10	18			25	2	5	160		253	2	6			
A13	7			35	79						434		57	3	1			
A14	47	1		16	42			1	1		553	3	28	3	11	1	7	
A15	15	12		43	40			25	6		489	1	67	1	1			
A16	33	8		33	19			1	4	1	374	5	25	38		1		
A17	18			36	31			30	3		452		60		10			
A18	5			27	17				1		508		22	5	6			
A22	16	5		205	20						589		91		4			
A23	22	30		12	37				32		445		250	2	2			
A24	42	10		98	7						641		88		34			
A25	59			167	55				2		363		97		10			
A26	276			186	5						310	1	150		2			
A27	32			3	62						325	2	108	2				
A28	38			102	24						702	4	77		6			
A29	101			118	10						274	3	243	37	3			
AB01	19			39							748		13	8				
AB02	1			22					16		574		355					
AB10	12	6		52				35	1	4	134		472	5				
AB11	44			14	271			17			306		167				1	
AI11	32			109	124						436		42	3	3			1
