SV	Plant	count_sum_SV	sample_number_SV	Nb_studies	sample_number_Plant	count_sum_Plant	SV_Rel_Abund	SV_Prev	Type
cff60bed359051dd65fe850fd0bd07e1	Bean	397	32	2	176	1707068	0.02325625	18.18181818	Flexible
d6efd2da2728fd74ded268122ee05036	Bean	2293	32	3	176	1707068	0.134323882	18.18181818	Flexible
06f825b512d903b9230e1a55d87359ee	Bean	397	30	3	176	1707068	0.02325625	17.04545455	Flexible
a0901407705992dc213ac509ede97d47	Bean	944	30	3	176	1707068	0.055299496	17.04545455	Flexible
09adf930700490e330c4ad28ad4d1057	Bean	2885	29	1	176	1707068	0.169003227	16.47727273	Flexible
26b4b526e1e97e0a1322abc26264cfea	Bean	495	29	4	176	1707068	0.028997087	16.47727273	Flexible
2743823e7602e70cfa467627e69d2774	Bean	369	29	4	176	1707068	0.021616011	16.47727273	Flexible
3f803c6a182a7484832b04d0550ce269	Bean	749	29	3	176	1707068	0.043876401	16.47727273	Flexible
6a42f6b31b1958a4fd7c015ad7affbf4	Bean	680	29	4	176	1707068	0.039834383	16.47727273	Flexible
810d24ee924214144b5ce85d1626f9cd	Bean	3427	29	3	176	1707068	0.200753573	16.47727273	Flexible
0a165844daf38d8ce2008c94a5b4565e	Bean	518	28	3	176	1707068	0.030344427	15.90909091	Flexible
71b7bc617d7daf228f48f7492a7e58e9	Bean	863	28	3	176	1707068	0.050554518	15.90909091	Flexible
7ae808cd4ae2caf0e35da0589ee28745	Bean	979	28	3	176	1707068	0.057349795	15.90909091	Flexible
d15bc449222795a9ff230013aa633686	Bean	495	28	3	176	1707068	0.028997087	15.90909091	Flexible
0dbb63d9aee197333df0c4a7ef521939	Bean	1101	27	2	176	1707068	0.064496552	15.34090909	Flexible
0eee4b53574d7cc70f808812bf00d776	Bean	2167	27	1	176	1707068	0.126942805	15.34090909	Flexible
7b9ce8e5c02aca74dd6c923413e99764	Bean	1173	27	2	176	1707068	0.06871431	15.34090909	Flexible
7ea4b157e51f38c83a0693ce6ea70f53	Bean	704	27	2	176	1707068	0.041240302	15.34090909	Flexible
b383a0f98e44fe8a7452ebf944105c48	Bean	2696	27	5	176	1707068	0.157931611	15.34090909	Flexible
